Time      Mean      STD       
0.000     10000.000 3.162     
0.001     9999.929  3.185     
0.002     9999.720  3.261     
0.003     9999.385  3.406     
0.004     9998.940  3.638     
0.005     9998.409  3.963     
0.006     9997.819  4.371     
0.007     9997.201  4.839     
0.008     9996.587  5.334     
0.009     9996.010  5.820     
0.010     9995.499  6.264     
0.011     9995.081  6.634     
0.012     9994.777  6.907     
0.013     9994.603  7.064     
0.014     9994.569  7.095     
0.015     9994.676  6.999     
0.016     9994.918  6.782     
0.017     9995.283  6.457     
0.018     9995.753  6.046     
0.019     9996.302  5.577     
0.020     9996.902  5.081     
0.021     9997.521  4.596     
0.022     9998.129  4.154     
0.023     9998.692  3.786     
0.024     9999.182  3.508     
0.025     9999.573  3.322     
0.026     9999.845  3.214     
0.027     9999.983  3.167     
0.028     9999.981  3.168     
0.029     9999.838  3.216     
0.030     9999.562  3.326     
0.031     9999.167  3.513     
0.032     9998.675  3.793     
0.033     9998.110  4.162     
0.034     9997.501  4.604     
0.035     9996.882  5.089     
0.036     9996.283  5.584     
0.037     9995.736  6.053     
0.038     9995.270  6.462     
0.039     9994.908  6.786     
0.040     9994.670  7.002     
0.041     9994.568  7.096     
0.042     9994.607  7.062     
0.043     9994.785  6.904     
0.044     9995.092  6.629     
0.045     9995.514  6.258     
0.046     9996.028  5.813     
0.047     9996.607  5.326     
0.048     9997.221  4.831     
0.049     9997.838  4.364     
0.050     9998.427  3.956     
0.051     9998.956  3.633     
0.052     9999.397  3.402     
0.053     9999.729  3.258     
0.054     9999.933  3.183     
0.055     9999.999  3.162     
0.056     9999.924  3.186     
0.057     9999.711  3.264     
0.058     9999.372  3.411     
0.059     9998.924  3.644     
0.060     9998.390  3.970     
0.061     9997.799  4.379     
0.062     9997.181  4.847     
0.063     9996.568  5.342     
0.064     9995.993  5.827     
0.065     9995.484  6.270     
0.066     9995.069  6.639     
0.067     9994.769  6.910     
0.068     9994.600  7.065     
0.069     9994.570  7.095     
0.070     9994.681  6.997     
0.071     9994.928  6.778     
0.072     9995.297  6.452     
0.073     9995.769  6.040     
0.074     9996.320  5.569     
0.075     9996.921  5.074     
0.076     9997.541  4.588     
0.077     9998.148  4.147     
0.078     9998.709  3.780     
0.079     9999.196  3.503     
0.080     9999.583  3.318     
0.081     9999.851  3.212     
0.082     9999.985  3.166     
0.083     9999.978  3.168     
0.084     9999.831  3.219     
0.085     9999.551  3.329     
0.086     9999.153  3.519     
0.087     9998.658  3.799     
0.088     9998.091  4.169     
0.089     9997.481  4.612     
0.090     9996.862  5.097     
0.091     9996.265  5.591     
0.092     9995.720  6.059     
0.093     9995.257  6.468     
0.094     9994.899  6.790     
0.095     9994.665  7.004     
0.096     9994.567  7.096     
0.097     9994.610  7.061     
0.098     9994.793  6.900     
0.099     9995.104  6.625     
0.100     9995.529  6.252     
0.101     9996.046  5.806     
0.102     9996.626  5.319     
0.103     9997.241  4.823     
0.104     9997.858  4.356     
0.105     9998.445  3.949     
0.106     9998.971  3.627     
0.107     9999.410  3.398     
0.108     9999.738  3.255     
0.109     9999.937  3.182     
0.110     9999.999  3.162     
0.111     9999.919  3.188     
0.112     9999.702  3.267     
0.113     9999.359  3.415     
0.114     9998.908  3.650     
0.115     9998.372  3.977     
0.116     9997.779  4.387     
0.117     9997.161  4.855     
0.118     9996.549  5.349     
0.119     9995.975  5.834     
0.120     9995.469  6.276     
0.121     9995.057  6.643     
0.122     9994.762  6.913     
0.123     9994.597  7.066     
0.124     9994.572  7.094     
0.125     9994.687  6.995     
0.126     9994.938  6.774     
0.127     9995.311  6.446     
0.128     9995.786  6.033     
0.129     9996.339  5.562     
0.130     9996.941  5.066     
0.131     9997.561  4.580     
0.132     9998.166  4.140     
0.133     9998.726  3.773     
0.134     9999.210  3.498     
0.135     9999.594  3.315     
0.136     9999.857  3.210     
0.137     9999.987  3.166     
0.138     9999.976  3.169     
0.139     9999.824  3.221     
0.140     9999.540  3.333     
0.141     9999.138  3.524     
0.142     9998.640  3.806     
0.143     9998.071  4.177     
0.144     9997.462  4.619     
0.145     9996.842  5.105     
0.146     9996.246  5.599     
0.147     9995.704  6.066     
0.148     9995.243  6.473     
0.149     9994.889  6.793     
0.150     9994.659  7.006     
0.151     9994.566  7.097     
0.152     9994.614  7.060     
0.153     9994.801  6.897     
0.154     9995.116  6.620     
0.155     9995.545  6.246     
0.156     9996.063  5.799     
0.157     9996.646  5.311     
0.158     9997.261  4.815     
0.159     9997.877  4.348     
0.160     9998.463  3.942     
0.161     9998.987  3.621     
0.162     9999.422  3.393     
0.163     9999.746  3.252     
0.164     9999.942  3.181     
0.165     9999.999  3.162     
0.166     9999.914  3.189     
0.167     9999.693  3.270     
0.168     9999.346  3.420     
0.169     9998.892  3.656     
0.170     9998.354  3.984     
0.171     9997.760  4.395     
0.172     9997.141  4.863     
0.173     9996.530  5.357     
0.174     9995.958  5.841     
0.175     9995.454  6.281     
0.176     9995.046  6.648     
0.177     9994.754  6.916     
0.178     9994.594  7.068     
0.179     9994.573  7.094     
0.180     9994.693  6.993     
0.181     9994.948  6.770     
0.182     9995.325  6.441     
0.183     9995.803  6.026     
0.184     9996.358  5.554     
0.185     9996.961  5.058     
0.186     9997.581  4.572     
0.187     9998.185  4.132     
0.188     9998.743  3.767     
0.189     9999.224  3.493     
0.190     9999.604  3.311     
0.191     9999.864  3.208     
0.192     9999.989  3.165     
0.193     9999.973  3.170     
0.194     9999.817  3.223     
0.195     9999.529  3.337     
0.196     9999.124  3.529     
0.197     9998.623  3.812     
0.198     9998.052  4.184     
0.199     9997.442  4.627     
0.200     9996.823  5.113     
0.201     9996.228  5.606     
0.202     9995.687  6.072     
0.203     9995.230  6.478     
0.204     9994.880  6.797     
0.205     9994.654  7.008     
0.206     9994.565  7.097     
0.207     9994.618  7.058     
0.208     9994.809  6.894     
0.209     9995.129  6.615     
0.210     9995.560  6.240     
0.211     9996.081  5.792     
0.212     9996.665  5.303     
0.213     9997.281  4.808     
0.214     9997.897  4.341     
0.215     9998.481  3.936     
0.216     9999.002  3.615     
0.217     9999.434  3.389     
0.218     9999.754  3.249     
0.219     9999.946  3.179     
0.220     9999.998  3.162     
0.221     9999.909  3.191     
0.222     9999.684  3.273     
0.223     9999.333  3.425     
0.224     9998.876  3.662     
0.225     9998.335  3.991     
0.226     9997.740  4.402     
0.227     9997.121  4.871     
0.228     9996.511  5.365     
0.229     9995.940  5.848     
0.230     9995.440  6.287     
0.231     9995.035  6.652     
0.232     9994.747  6.918     
0.233     9994.591  7.069     
0.234     9994.575  7.093     
0.235     9994.700  6.990     
0.236     9994.959  6.766     
0.237     9995.339  6.435     
0.238     9995.820  6.020     
0.239     9996.377  5.547     
0.240     9996.981  5.050     
0.241     9997.601  4.565     
0.242     9998.204  4.125     
0.243     9998.759  3.761     
0.244     9999.238  3.488     
0.245     9999.615  3.308     
0.246     9999.870  3.206     
0.247     9999.990  3.165     
0.248     9999.970  3.171     
0.249     9999.809  3.226     
0.250     9999.517  3.341     
0.251     9999.109  3.535     
0.252     9998.605  3.819     
0.253     9998.033  4.192     
0.254     9997.422  4.635     
0.255     9996.803  5.121     
0.256     9996.209  5.614     
0.257     9995.671  6.078     
0.258     9995.217  6.483     
0.259     9994.871  6.801     
0.260     9994.649  7.010     
0.261     9994.565  7.097     
0.262     9994.622  7.057     
0.263     9994.817  6.891     
0.264     9995.141  6.610     
0.265     9995.576  6.234     
0.266     9996.099  5.785     
0.267     9996.685  5.296     
0.268     9997.301  4.800     
0.269     9997.916  4.333     
0.270     9998.499  3.929     
0.271     9999.018  3.610     
0.272     9999.446  3.385     
0.273     9999.762  3.247     
0.274     9999.949  3.178     
0.275     9999.997  3.162     
0.276     9999.904  3.193     
0.277     9999.674  3.276     
0.278     9999.320  3.429     
0.279     9998.859  3.668     
0.280     9998.317  3.999     
0.281     9997.720  4.410     
0.282     9997.101  4.879     
0.283     9996.491  5.372     
0.284     9995.923  5.855     
0.285     9995.425  6.293     
0.286     9995.024  6.657     
0.287     9994.740  6.921     
0.288     9994.588  7.070     
0.289     9994.577  7.092     
0.290     9994.706  6.988     
0.291     9994.969  6.762     
0.292     9995.353  6.430     
0.293     9995.837  6.013     
0.294     9996.396  5.540     
0.295     9997.001  5.042     
0.296     9997.621  4.557     
0.297     9998.223  4.118     
0.298     9998.776  3.755     
0.299     9999.252  3.483     
0.300     9999.625  3.304     
0.301     9999.876  3.204     
0.302     9999.992  3.164     
0.303     9999.967  3.172     
0.304     9999.802  3.228     
0.305     9999.506  3.345     
0.306     9999.094  3.540     
0.307     9998.588  3.826     
0.308     9998.014  4.199     
0.309     9997.402  4.643     
0.310     9996.783  5.129     
0.311     9996.191  5.621     
0.312     9995.655  6.085     
0.313     9995.204  6.489     
0.314     9994.862  6.804     
0.315     9994.645  7.012     
0.316     9994.565  7.097     
0.317     9994.626  7.055     
0.318     9994.826  6.888     
0.319     9995.153  6.606     
0.320     9995.591  6.227     
0.321     9996.118  5.778     
0.322     9996.704  5.288     
0.323     9997.321  4.792     
0.324     9997.936  4.326     
0.325     9998.516  3.922     
0.326     9999.033  3.604     
0.327     9999.458  3.381     
0.328     9999.770  3.244     
0.329     9999.953  3.177     
0.330     9999.996  3.163     
0.331     9999.899  3.195     
0.332     9999.664  3.280     
0.333     9999.306  3.434     
0.334     9998.843  3.675     
0.335     9998.298  4.006     
0.336     9997.701  4.418     
0.337     9997.081  4.887     
0.338     9996.472  5.380     
0.339     9995.906  5.862     
0.340     9995.411  6.299     
0.341     9995.013  6.661     
0.342     9994.733  6.924     
0.343     9994.586  7.071     
