Time      Mean      STD       
0.000     10000.000 0.000     
0.000     10000.000 0.023     
0.000     9999.999  0.045     
0.000     9999.998  0.068     
0.000     9999.996  0.091     
0.000     9999.994  0.113     
0.000     9999.991  0.136     
0.000     9999.987  0.159     
0.000     9999.984  0.182     
0.001     9999.979  0.204     
0.001     9999.974  0.227     
0.001     9999.969  0.250     
0.001     9999.963  0.274     
0.001     9999.957  0.297     
0.001     9999.950  0.320     
0.001     9999.943  0.344     
0.001     9999.935  0.367     
0.001     9999.926  0.391     
0.001     9999.918  0.414     
0.001     9999.908  0.438     
0.001     9999.898  0.462     
0.001     9999.888  0.486     
0.001     9999.877  0.511     
0.001     9999.866  0.535     
0.001     9999.854  0.560     
0.002     9999.842  0.585     
0.002     9999.829  0.610     
0.002     9999.816  0.635     
0.002     9999.802  0.660     
0.002     9999.788  0.685     
0.002     9999.773  0.711     
0.002     9999.758  0.737     
0.002     9999.742  0.763     
0.002     9999.726  0.789     
0.002     9999.710  0.816     
0.002     9999.693  0.842     
0.002     9999.675  0.869     
0.002     9999.657  0.896     
0.002     9999.639  0.923     
0.002     9999.620  0.951     
0.002     9999.601  0.979     
0.002     9999.581  1.007     
0.003     9999.561  1.035     
0.003     9999.540  1.063     
0.003     9999.519  1.092     
0.003     9999.498  1.121     
0.003     9999.476  1.150     
0.003     9999.454  1.179     
0.003     9999.431  1.209     
0.003     9999.408  1.238     
0.003     9999.385  1.268     
0.003     9999.361  1.299     
0.003     9999.337  1.329     
0.003     9999.312  1.360     
0.003     9999.287  1.391     
0.003     9999.262  1.422     
0.003     9999.236  1.453     
0.003     9999.210  1.485     
0.003     9999.183  1.517     
0.004     9999.156  1.549     
0.004     9999.129  1.581     
0.004     9999.102  1.614     
0.004     9999.074  1.646     
0.004     9999.045  1.679     
0.004     9999.017  1.712     
0.004     9998.988  1.746     
0.004     9998.959  1.779     
0.004     9998.929  1.813     
0.004     9998.899  1.847     
0.004     9998.869  1.882     
0.004     9998.838  1.916     
0.004     9998.808  1.951     
0.004     9998.777  1.986     
0.004     9998.745  2.021     
0.004     9998.714  2.056     
0.004     9998.682  2.091     
0.005     9998.649  2.127     
0.005     9998.617  2.163     
0.005     9998.584  2.199     
0.005     9998.551  2.235     
0.005     9998.518  2.271     
0.005     9998.485  2.307     
0.005     9998.451  2.344     
0.005     9998.417  2.381     
0.005     9998.383  2.418     
0.005     9998.349  2.455     
0.005     9998.314  2.492     
0.005     9998.279  2.530     
0.005     9998.245  2.567     
0.005     9998.209  2.605     
0.005     9998.174  2.642     
0.005     9998.139  2.680     
0.006     9998.103  2.718     
0.006     9998.067  2.756     
0.006     9998.031  2.795     
0.006     9997.995  2.833     
0.006     9997.959  2.871     
0.006     9997.923  2.910     
0.006     9997.886  2.948     
0.006     9997.849  2.987     
0.006     9997.813  3.026     
0.006     9997.776  3.064     
0.006     9997.739  3.103     
0.006     9997.702  3.142     
0.006     9997.665  3.181     
0.006     9997.628  3.220     
0.006     9997.590  3.259     
0.006     9997.553  3.298     
0.006     9997.516  3.337     
0.007     9997.478  3.376     
0.007     9997.441  3.415     
0.007     9997.403  3.454     
0.007     9997.366  3.493     
0.007     9997.328  3.532     
0.007     9997.290  3.571     
0.007     9997.253  3.610     
0.007     9997.215  3.649     
0.007     9997.177  3.688     
0.007     9997.140  3.727     
0.007     9997.102  3.766     
0.007     9997.065  3.805     
0.007     9997.027  3.844     
0.007     9996.990  3.883     
0.007     9996.952  3.921     
0.007     9996.915  3.960     
0.007     9996.877  3.998     
0.008     9996.840  4.037     
0.008     9996.803  4.075     
0.008     9996.766  4.113     
0.008     9996.729  4.151     
0.008     9996.692  4.189     
0.008     9996.655  4.227     
0.008     9996.618  4.265     
0.008     9996.582  4.302     
0.008     9996.545  4.340     
0.008     9996.509  4.377     
0.008     9996.472  4.414     
0.008     9996.436  4.451     
0.008     9996.400  4.488     
0.008     9996.365  4.525     
0.008     9996.329  4.561     
0.008     9996.293  4.598     
0.009     9996.258  4.634     
0.009     9996.223  4.670     
0.009     9996.188  4.705     
0.009     9996.153  4.741     
0.009     9996.119  4.776     
0.009     9996.084  4.811     
0.009     9996.050  4.846     
0.009     9996.016  4.881     
0.009     9995.983  4.915     
0.009     9995.949  4.949     
0.009     9995.916  4.983     
0.009     9995.883  5.017     
0.009     9995.850  5.050     
0.009     9995.818  5.083     
0.009     9995.786  5.116     
0.009     9995.754  5.148     
0.009     9995.722  5.181     
0.010     9995.691  5.213     
0.010     9995.660  5.244     
0.010     9995.629  5.276     
0.010     9995.598  5.307     
0.010     9995.568  5.338     
0.010     9995.538  5.368     
0.010     9995.508  5.398     
0.010     9995.479  5.428     
0.010     9995.450  5.457     
0.010     9995.422  5.486     
0.010     9995.393  5.515     
0.010     9995.365  5.544     
0.010     9995.338  5.572     
0.010     9995.310  5.599     
0.010     9995.284  5.627     
0.010     9995.257  5.654     
0.010     9995.231  5.680     
0.011     9995.205  5.706     
0.011     9995.180  5.732     
0.011     9995.154  5.758     
0.011     9995.130  5.783     
0.011     9995.106  5.807     
0.011     9995.082  5.832     
0.011     9995.058  5.855     
0.011     9995.035  5.879     
0.011     9995.012  5.902     
0.011     9994.990  5.925     
0.011     9994.968  5.947     
0.011     9994.947  5.968     
0.011     9994.926  5.990     
0.011     9994.905  6.011     
0.011     9994.885  6.031     
0.011     9994.865  6.051     
0.012     9994.846  6.071     
0.012     9994.827  6.090     
0.012     9994.809  6.109     
0.012     9994.791  6.127     
0.012     9994.773  6.145     
0.012     9994.756  6.162     
0.012     9994.739  6.179     
0.012     9994.723  6.195     
0.012     9994.708  6.211     
0.012     9994.692  6.226     
0.012     9994.678  6.241     
0.012     9994.663  6.256     
0.012     9994.649  6.270     
0.012     9994.636  6.283     
0.012     9994.623  6.296     
0.012     9994.611  6.309     
0.012     9994.599  6.321     
0.013     9994.588  6.333     
0.013     9994.577  6.344     
0.013     9994.566  6.354     
0.013     9994.556  6.364     
0.013     9994.547  6.374     
0.013     9994.538  6.383     
0.013     9994.530  6.392     
0.013     9994.522  6.400     
0.013     9994.514  6.407     
0.013     9994.507  6.414     
0.013     9994.501  6.421     
0.013     9994.495  6.427     
0.013     9994.489  6.432     
0.013     9994.485  6.437     
0.013     9994.480  6.442     
0.013     9994.476  6.446     
0.013     9994.473  6.449     
0.014     9994.470  6.452     
0.014     9994.468  6.455     
0.014     9994.466  6.457     
0.014     9994.464  6.458     
0.014     9994.463  6.459     
0.014     9994.463  6.459     
0.014     9994.463  6.459     
0.014     9994.464  6.459     
0.014     9994.465  6.457     
0.014     9994.467  6.456     
0.014     9994.469  6.454     
0.014     9994.472  6.451     
0.014     9994.475  6.448     
0.014     9994.479  6.444     
0.014     9994.483  6.440     
0.014     9994.488  6.435     
0.015     9994.493  6.430     
0.015     9994.499  6.424     
0.015     9994.505  6.417     
0.015     9994.512  6.411     
0.015     9994.519  6.403     
0.015     9994.527  6.396     
0.015     9994.535  6.387     
0.015     9994.544  6.378     
0.015     9994.553  6.369     
0.015     9994.563  6.359     
0.015     9994.573  6.349     
0.015     9994.584  6.338     
0.015     9994.595  6.327     
0.015     9994.607  6.315     
0.015     9994.619  6.303     
0.015     9994.632  6.290     
0.015     9994.645  6.276     
0.016     9994.659  6.263     
0.016     9994.673  6.248     
0.016     9994.687  6.234     
0.016     9994.703  6.219     
0.016     9994.718  6.203     
0.016     9994.734  6.187     
0.016     9994.751  6.170     
0.016     9994.767  6.153     
0.016     9994.785  6.135     
0.016     9994.803  6.117     
0.016     9994.821  6.099     
0.016     9994.840  6.080     
0.016     9994.859  6.061     
0.016     9994.878  6.041     
0.016     9994.898  6.021     
0.016     9994.919  6.000     
0.017     9994.940  5.979     
0.017     9994.961  5.957     
0.017     9994.983  5.935     
0.017     9995.005  5.913     
0.017     9995.028  5.890     
0.017     9995.051  5.867     
0.017     9995.074  5.843     
0.017     9995.098  5.819     
0.017     9995.122  5.795     
0.017     9995.146  5.770     
0.017     9995.171  5.744     
0.017     9995.197  5.719     
0.017     9995.222  5.693     
0.017     9995.248  5.666     
0.017     9995.275  5.640     
0.017     9995.302  5.612     
0.017     9995.329  5.585     
0.018     9995.356  5.557     
