Time      Mean      STD       
0.000     9999.045  0.619     
0.000     9999.045  0.619     
0.000     9999.045  0.619     
0.000     9999.045  0.619     
0.000     9999.042  0.623     
0.000     9999.032  0.635     
0.001     9999.012  0.656     
0.001     9998.953  0.722     
0.001     9998.861  0.815     
0.002     9998.682  0.988     
0.003     9998.445  1.202     
0.003     9998.151  1.456     
0.004     9997.619  1.898     
0.005     9997.000  2.402     
0.006     9996.313  2.954     
0.007     9995.588  3.533     
0.007     9994.855  4.116     
0.008     9994.140  4.687     
0.009     9993.475  5.216     
0.010     9992.884  5.685     
0.011     9992.383  6.085     
0.012     9991.999  6.400     
0.013     9991.750  6.602     
0.014     9991.644  6.687     
0.015     9991.673  6.669     
0.015     9991.851  6.542     
0.016     9992.167  6.298     
0.017     9992.609  5.948     
0.018     9993.151  5.522     
0.019     9993.782  5.027     
0.020     9994.474  4.477     
0.021     9995.201  3.897     
0.022     9995.933  3.310     
0.022     9996.639  2.735     
0.023     9997.292  2.194     
0.024     9997.871  1.712     
0.025     9998.354  1.291     
0.026     9998.712  0.952     
0.027     9998.935  0.724     
0.028     9999.022  0.638     
0.029     9998.965  0.701     
0.029     9998.760  0.905     
0.030     9998.420  1.215     
0.031     9997.962  1.608     
0.032     9997.400  2.070     
0.033     9996.755  2.591     
0.034     9996.054  3.153     
0.035     9995.325  3.735     
0.036     9994.597  4.316     
0.036     9993.899  4.873     
0.037     9993.254  5.384     
0.038     9992.690  5.835     
0.039     9992.234  6.205     
0.040     9991.899  6.478     
0.041     9991.695  6.642     
0.042     9991.634  6.697     
0.043     9991.722  6.639     
0.043     9991.951  6.467     
0.044     9992.309  6.186     
0.045     9992.788  5.812     
0.046     9993.368  5.359     
0.047     9994.024  4.841     
0.048     9994.731  4.279     
0.049     9995.461  3.694     
0.050     9996.186  3.109     
0.050     9996.879  2.544     
0.051     9997.511  2.021     
0.052     9998.056  1.555     
0.053     9998.492  1.163     
0.054     9998.808  0.862     
0.055     9998.986  0.676     
0.056     9999.018  0.640     
0.057     9998.904  0.762     
0.057     9998.655  1.003     
0.058     9998.272  1.341     
0.059     9997.772  1.761     
0.060     9997.177  2.247     
0.061     9996.511  2.782     
0.062     9995.797  3.353     
0.063     9995.065  3.937     
0.064     9994.344  4.509     
0.064     9993.660  5.056     
0.065     9993.043  5.551     
0.066     9992.517  5.972     
0.067     9992.101  6.306     
0.068     9991.808  6.548     
0.069     9991.657  6.678     
0.070     9991.651  6.689     
0.071     9991.788  6.588     
0.072     9992.062  6.383     
0.072     9992.467  6.070     
0.073     9992.985  5.664     
0.074     9993.594  5.185     
0.075     9994.270  4.652     
0.076     9994.990  4.079     
0.077     9995.722  3.491     
0.078     9996.439  2.912     
0.079     9997.112  2.356     
0.079     9997.715  1.850     
0.080     9998.224  1.412     
0.081     9998.620  1.049     
0.082     9998.887  0.780     
0.083     9999.013  0.643     
0.084     9998.994  0.669     
0.085     9998.832  0.835     
0.086     9998.532  1.109     
0.086     9998.106  1.478     
0.087     9997.570  1.924     
0.088     9996.947  2.427     
0.089     9996.260  2.976     
0.090     9995.537  3.554     
0.091     9994.806  4.136     
0.092     9994.095  4.702     
0.093     9993.432  5.234     
0.093     9992.844  5.705     
0.094     9992.355  6.096     
0.095     9991.981  6.402     
0.096     9991.739  6.607     
0.097     9991.638  6.695     
0.098     9991.684  6.666     
0.099     9991.870  6.531     
0.100     9992.193  6.287     
0.100     9992.640  5.939     
0.101     9993.193  5.506     
0.102     9993.828  5.007     
0.103     9994.523  4.457     
0.104     9995.250  3.876     
0.105     9995.980  3.289     
0.106     9996.684  2.716     
0.107     9997.336  2.175     
0.107     9997.908  1.690     
0.108     9998.378  1.276     
0.109     9998.730  0.943     
0.110     9998.949  0.716     
0.111     9999.023  0.634     
0.112     9998.952  0.711     
0.113     9998.740  0.919     
0.114     9998.395  1.229     
0.114     9997.926  1.625     
0.115     9997.357  2.091     
0.116     9996.709  2.612     
0.117     9996.006  3.174     
0.118     9995.276  3.756     
0.119     9994.549  4.334     
0.120     9993.852  4.891     
0.121     9993.213  5.403     
0.121     9992.658  5.849     
0.122     9992.208  6.213     
0.123     9991.879  6.485     
0.124     9991.686  6.649     
0.125     9991.638  6.698     
0.126     9991.734  6.633     
0.127     9991.969  6.459     
0.128     9992.339  6.177     
0.128     9992.826  5.799     
0.129     9993.410  5.341     
0.130     9994.070  4.823     
0.131     9994.780  4.259     
0.132     9995.511  3.673     
0.133     9996.235  3.089     
0.134     9996.924  2.524     
0.135     9997.549  2.001     
0.136     9998.088  1.537     
0.136     9998.519  1.149     
0.137     9998.824  0.851     
0.138     9998.990  0.671     
0.139     9999.014  0.643     
0.140     9998.894  0.771     
0.141     9998.632  1.017     
0.142     9998.240  1.358     
0.143     9997.735  1.779     
0.143     9997.135  2.266     
0.144     9996.463  2.803     
0.145     9995.747  3.374     
0.146     9995.015  3.957     
0.147     9994.296  4.530     
0.148     9993.617  5.073     
0.149     9993.005  5.565     
0.150     9992.484  5.985     
0.150     9992.076  6.318     
0.151     9991.795  6.552     
0.152     9991.653  6.679     
0.153     9991.655  6.689     
0.154     9991.802  6.585     
0.155     9992.088  6.371     
0.156     9992.500  6.056     
0.157     9993.023  5.650     
0.157     9993.638  5.169     
0.158     9994.319  4.631     
0.159     9995.039  4.058     
0.160     9995.771  3.471     
0.161     9996.486  2.891     
0.162     9997.155  2.338     
0.163     9997.753  1.833     
0.164     9998.255  1.392     
0.164     9998.642  1.034     
0.165     9998.899  0.774     
0.166     9999.017  0.642     
0.167     9998.988  0.671     
0.168     9998.815  0.846     
0.169     9998.506  1.127     
0.170     9998.073  1.496     
0.171     9997.531  1.941     
0.171     9996.902  2.447     
0.172     9996.212  2.998     
0.173     9995.487  3.574     
0.174     9994.756  4.156     
0.175     9994.048  4.721     
0.176     9993.390  5.249     
0.177     9992.808  5.719     
0.178     9992.325  6.110     
0.178     9991.961  6.410     
0.179     9991.728  6.608     
0.180     9991.637  6.696     
0.181     9991.692  6.666     
0.182     9991.889  6.523     
0.183     9992.220  6.274     
0.184     9992.674  5.927     
0.185     9993.233  5.492     
0.185     9993.874  4.989     
0.186     9994.572  4.437     
0.187     9995.300  3.856     
0.188     9996.029  3.269     
0.189     9996.730  2.695     
0.190     9997.377  2.157     
0.191     9997.944  1.672     
0.192     9998.406  1.258     
0.193     9998.749  0.931     
0.193     9998.957  0.711     
0.194     9999.023  0.634     
0.195     9998.942  0.718     
0.196     9998.720  0.933     
0.197     9998.365  1.246     
0.198     9997.891  1.642     
0.199     9997.315  2.110     
0.200     9996.662  2.633     
0.200     9995.957  3.195     
0.201     9995.226  3.776     
0.202     9994.500  4.354     
0.203     9993.807  4.909     
0.204     9993.173  5.418     
0.205     9992.624  5.863     
0.206     9992.182  6.224     
0.207     9991.863  6.490     
0.207     9991.680  6.651     
0.208     9991.640  6.699     
0.209     9991.746  6.629     
0.210     9991.992  6.449     
0.211     9992.369  6.165     
0.212     9992.862  5.786     
0.213     9993.453  5.325     
0.214     9994.117  4.803     
0.214     9994.829  4.239     
0.215     9995.561  3.653     
0.216     9996.283  3.068     
0.217     9996.968  2.504     
0.218     9997.589  1.982     
0.219     9998.121  1.520     
0.220     9998.542  1.134     
0.221     9998.839  0.841     
0.221     9998.996  0.667     
0.222     9999.010  0.646     
0.223     9998.879  0.779     
0.224     9998.609  1.031     
0.225     9998.209  1.376     
0.226     9997.696  1.797     
0.227     9997.091  2.285     
0.228     9996.415  2.824     
0.228     9995.698  3.394     
0.229     9994.966  3.977     
0.230     9994.248  4.549     
0.231     9993.573  5.091     
0.232     9992.967  5.580     
0.233     9992.454  5.998     
0.234     9992.054  6.328     
0.235     9991.781  6.559     
0.235     9991.650  6.680     
0.236     9991.662  6.688     
0.237     9991.818  6.580     
0.238     9992.112  6.363     
0.239     9992.533  6.044     
0.240     9993.063  5.635     
0.241     9993.682  5.152     
0.242     9994.366  4.612     
0.242     9995.089  4.038     
0.243     9995.820  3.450     
0.244     9996.533  2.870     
0.245     9997.198  2.318     
0.246     9997.789  1.815     
0.247     9998.284  1.376     
0.248     9998.664  1.020     
0.249     9998.911  0.765     
0.249     9999.017  0.642     
0.250     9998.980  0.677     
0.251     9998.799  0.855     
0.252     9998.480  1.142     
0.253     9998.038  1.514     
0.254     9997.490  1.959     
0.255     9996.857  2.467     
0.256     9996.163  3.019     
0.257     9995.438  3.595     
0.257     9994.707  4.177     
0.258     9994.002  4.742     
0.259     9993.348  5.266     
0.260     9992.773  5.732     
0.261     9992.297  6.123     
0.262     9991.941  6.420     
0.263     9991.719  6.613     
0.264     9991.638  6.694     
0.264     9991.700  6.665     
0.265     9991.907  6.518     
0.266     9992.248  6.264     
0.267     9992.710  5.912     
0.268     9993.274  5.477     
0.269     9993.920  4.971     
0.270     9994.621  4.417     
0.271     9995.349  3.836     
0.271     9996.078  3.247     
0.272     9996.776  2.675     
0.273     9997.418  2.138     
0.274     9997.977  1.656     
0.275     9998.434  1.241     
0.276     9998.766  0.919     
0.277     9998.965  0.705     
0.278     9999.021  0.637     
0.278     9998.932  0.723     
0.279     9998.700  0.946     
0.280     9998.336  1.262     
0.281     9997.854  1.661     
0.282     9997.273  2.128     
0.283     9996.615  2.654     
0.284     9995.907  3.216     
0.285     9995.177  3.796     
0.285     9994.452  4.375     
0.286     9993.762  4.927     
0.287     9993.133  5.435     
0.288     9992.591  5.876     
0.289     9992.155  6.238     
0.290     9991.847  6.496     
0.291     9991.673  6.654     
0.292     9991.644  6.698     
0.292     9991.757  6.628     
0.293     9992.014  6.440     
0.294     9992.400  6.153     
0.295     9992.900  5.771     
0.296     9993.496  5.310     
0.297     9994.165  4.784     
0.298     9994.879  4.219     
0.299     9995.610  3.632     
0.299     9996.331  3.046     
0.300     9997.012  2.485     
0.301     9997.627  1.963     
0.302     9998.153  1.503     
0.303     9998.568  1.118     
0.304     9998.853  0.832     
0.305     9999.001  0.662     
0.306     9999.006  0.649     
0.306     9998.866  0.789     
0.307     9998.584  1.047     
0.308     9998.177  1.392     
0.309     9997.658  1.815     
0.310     9997.046  2.305     
0.311     9996.367  2.845     
0.312     9995.648  3.415     
0.313     9994.916  3.998     
0.314     9994.201  4.569     
0.314     9993.530  5.108     
0.315     9992.929  5.595     
0.316     9992.422  6.011     
0.317     9992.031  6.337     
0.318     9991.770  6.563     
0.319     9991.646  6.682     
0.320     9991.667  6.687     
0.321     9991.834  6.574     
0.321     9992.138  6.353     
0.322     9992.565  6.032     
0.323     9993.102  5.621     
0.324     9993.728  5.134     
0.325     9994.415  4.593     
0.326     9995.138  4.018     
0.327     9995.870  3.429     
0.328     9996.580  2.849     
0.328     9997.240  2.299     
0.329     9997.826  1.796     
0.330     9998.314  1.359     
0.331     9998.683  1.007     
0.332     9998.922  0.757     
0.333     9999.020  0.639     
0.334     9998.972  0.682     
0.335     9998.780  0.868     
0.335     9998.453  1.157     
