Species              = 23Na           
B Field (muT)        = 0              
N_0                  = 1998           
C_init               = 24             
Total Atom Number    = 2000           
Magnetization        = 0              
Mag Range            = 2              
Atom Range           = 2              
Spinor Phase         = 0              
Initial State Solver = coherent_state 
Propogator           = Chebychev      

Delta t (s)    Emw(Hz)        q(Hz)          C(Hz)          num steps      
0.04           -2.5           -2.5           24             30             
0.001          -426           -426.0         24             6              
0.06           -2.5           -2.5           24             30             

t(s)           mean           stddev         norm           
0.000000e+00   1.998139e+03   1.950098e+00   4.126100e-02   
1.333333e-03   1.997763e+03   2.212826e+00   4.126100e-02   
2.666667e-03   1.996625e+03   2.976543e+00   4.126100e-02   
4.000000e-03   1.994689e+03   4.223262e+00   4.126100e-02   
5.333333e-03   1.991896e+03   5.977598e+00   4.126100e-02   
6.666667e-03   1.988161e+03   8.291815e+00   4.126100e-02   
8.000000e-03   1.983371e+03   1.123550e+01   4.126100e-02   
9.333333e-03   1.977382e+03   1.489384e+01   4.126100e-02   
1.066667e-02   1.970018e+03   1.936854e+01   4.126100e-02   
1.200000e-02   1.961065e+03   2.477908e+01   4.126100e-02   
1.333333e-02   1.950266e+03   3.126352e+01   4.126100e-02   
1.466667e-02   1.937321e+03   3.897870e+01   4.126100e-02   
1.600000e-02   1.921881e+03   4.809921e+01   4.126100e-02   
1.733333e-02   1.903542e+03   5.881488e+01   4.126100e-02   
1.866667e-02   1.881847e+03   7.132593e+01   4.126100e-02   
2.000000e-02   1.856286e+03   8.583507e+01   4.126100e-02   
2.133333e-02   1.826294e+03   1.025356e+02   4.126100e-02   
2.266667e-02   1.791265e+03   1.215948e+02   4.126100e-02   
2.400000e-02   1.750565e+03   1.431308e+02   4.126100e-02   
2.533333e-02   1.703551e+03   1.671845e+02   4.126100e-02   
2.666667e-02   1.649610e+03   1.936846e+02   4.126100e-02   
2.800000e-02   1.588199e+03   2.224085e+02   4.126100e-02   
2.933333e-02   1.518907e+03   2.529422e+02   4.126100e-02   
3.066667e-02   1.441524e+03   2.846438e+02   4.126100e-02   
3.200000e-02   1.356122e+03   3.166184e+02   4.126100e-02   
3.333333e-02   1.263139e+03   3.477127e+02   4.126100e-02   
3.466667e-02   1.163461e+03   3.765397e+02   4.126100e-02   
3.600000e-02   1.058483e+03   4.015407e+02   4.126100e-02   
3.733333e-02   9.501513e+02   4.210915e+02   4.126100e-02   
3.866667e-02   8.409448e+02   4.336500e+02   4.126100e-02   
4.000000e-02   7.338170e+02   4.379412e+02   4.126100e-02   
4.016667e-02   7.176016e+02   4.356466e+02   4.126100e-02   
4.033333e-02   7.041176e+02   4.303029e+02   4.126100e-02   
4.050000e-02   7.035439e+02   4.256015e+02   4.126100e-02   
4.066667e-02   7.161661e+02   4.250556e+02   4.126100e-02   
4.083333e-02   7.322689e+02   4.294273e+02   4.126100e-02   
4.100000e-02   7.396469e+02   4.357515e+02   4.126100e-02   
4.300000e-02   7.395549e+02   4.984889e+02   4.126100e-02   
4.500000e-02   7.336106e+02   5.491136e+02   4.126100e-02   
4.700000e-02   7.240738e+02   5.875274e+02   4.126100e-02   
4.900000e-02   7.128420e+02   6.148222e+02   4.126100e-02   
5.100000e-02   7.013298e+02   6.327773e+02   4.126100e-02   
5.300000e-02   6.904732e+02   6.434047e+02   4.126100e-02   
5.500000e-02   6.808105e+02   6.485897e+02   4.126100e-02   
5.700000e-02   6.725977e+02   6.498573e+02   4.126100e-02   
5.900000e-02   6.659180e+02   6.482610e+02   4.126100e-02   
6.100000e-02   6.607670e+02   6.443688e+02   4.126100e-02   
6.300000e-02   6.571005e+02   6.383113e+02   4.126100e-02   
6.500000e-02   6.548494e+02   6.298672e+02   4.126100e-02   
6.700000e-02   6.539034e+02   6.185701e+02   4.126100e-02   
6.900000e-02   6.540786e+02   6.038331e+02   4.126100e-02   
7.100000e-02   6.550779e+02   5.850939e+02   4.126100e-02   
7.300000e-02   6.564614e+02   5.619835e+02   4.126100e-02   
7.500000e-02   6.576395e+02   5.345147e+02   4.126100e-02   
7.700000e-02   6.578996e+02   5.032666e+02   4.126100e-02   
7.900000e-02   6.564720e+02   4.695196e+02   4.126100e-02   
8.100000e-02   6.526263e+02   4.352722e+02   4.126100e-02   
8.300000e-02   6.457823e+02   4.030809e+02   4.126100e-02   
8.500000e-02   6.356104e+02   3.757294e+02   4.126100e-02   
8.700000e-02   6.220996e+02   3.558304e+02   4.126100e-02   
8.900000e-02   6.055883e+02   3.454701e+02   4.126100e-02   
9.100000e-02   5.867636e+02   3.458466e+02   4.126100e-02   
9.300000e-02   5.666432e+02   3.568018e+02   4.126100e-02   
9.500000e-02   5.465357e+02   3.764747e+02   4.126100e-02   
9.700000e-02   5.279611e+02   4.015425e+02   4.126100e-02   
9.900000e-02   5.125115e+02   4.281006e+02   4.126100e-02   
1.010000e-01   5.016564e+02   4.527128e+02   4.126100e-02   
