Species              = Na             
B Field (muT)        = 0.0            
N_0                  = 998            
C_init               = 24             
Total Atom Number    = 1000           
Magnetization        = 0              
Mag Range            = 1              
Atom Range           = 1              
Spinor Phase         = 0.0            
Initial State Solver = coherent_state 
Propogator           = Chebychev      

Delta t (s)    Emw(Hz)        q(Hz)          C(Hz)          num steps      
2              -5             -5.0           30             200            

t(s)           mean           stddev         norm           
0.000000e+00   9.983293e+02   1.567159e+00   2.795812e-02   
1.000000e-02   9.561609e+02   2.836772e+01   2.795812e-02   
2.000000e-02   6.677703e+02   1.664148e+02   2.795812e-02   
3.000000e-02   1.946199e+02   1.539412e+02   2.795812e-02   
4.000000e-02   5.770850e+02   2.106274e+02   2.795812e-02   
5.000000e-02   9.174643e+02   1.100878e+02   2.795812e-02   
6.000000e-02   9.807888e+02   4.502732e+01   2.795812e-02   
7.000000e-02   9.025679e+02   1.551278e+02   2.795812e-02   
8.000000e-02   6.449536e+02   3.155270e+02   2.795812e-02   
9.000000e-02   4.655461e+02   3.031155e+02   2.795812e-02   
1.000000e-01   6.014342e+02   3.056978e+02   2.795812e-02   
1.100000e-01   8.014092e+02   2.627943e+02   2.795812e-02   
1.200000e-01   8.794403e+02   2.053047e+02   2.795812e-02   
1.300000e-01   8.086377e+02   2.696129e+02   2.795812e-02   
1.400000e-01   6.754035e+02   3.254268e+02   2.795812e-02   
1.500000e-01   6.224962e+02   3.253016e+02   2.795812e-02   
1.600000e-01   6.789802e+02   3.149740e+02   2.795812e-02   
1.700000e-01   7.585551e+02   2.905953e+02   2.795812e-02   
1.800000e-01   7.809291e+02   2.827915e+02   2.795812e-02   
1.900000e-01   7.444898e+02   3.044640e+02   2.795812e-02   
2.000000e-01   7.041755e+02   3.148066e+02   2.795812e-02   
2.100000e-01   6.933373e+02   3.168327e+02   2.795812e-02   
2.200000e-01   7.139727e+02   3.101368e+02   2.795812e-02   
2.300000e-01   7.373289e+02   3.019803e+02   2.795812e-02   
2.400000e-01   7.403386e+02   3.024246e+02   2.795812e-02   
2.500000e-01   7.276742e+02   3.071644e+02   2.795812e-02   
2.600000e-01   7.143855e+02   3.119997e+02   2.795812e-02   
2.700000e-01   7.150140e+02   3.118308e+02   2.795812e-02   
2.800000e-01   7.266527e+02   3.060239e+02   2.795812e-02   
2.900000e-01   7.307148e+02   3.055082e+02   2.795812e-02   
3.000000e-01   7.266499e+02   3.078035e+02   2.795812e-02   
3.100000e-01   7.223553e+02   3.090992e+02   2.795812e-02   
3.200000e-01   7.216063e+02   3.087910e+02   2.795812e-02   
3.300000e-01   7.227479e+02   3.069832e+02   2.795812e-02   
3.400000e-01   7.213895e+02   3.092280e+02   2.795812e-02   
3.500000e-01   7.234492e+02   3.087065e+02   2.795812e-02   
