Time      Mean      STD       
0.000     10000.000 3.162     
0.001     9999.928  3.185     
0.002     9999.711  3.264     
0.003     9999.339  3.428     
0.004     9998.797  3.721     
0.005     9998.060  4.199     
0.006     9997.097  4.921     
0.007     9995.868  5.941     
0.008     9994.320  7.318     
0.009     9992.387  9.113     
0.010     9989.986  11.403    
0.011     9987.016  14.282    
0.012     9983.350  17.872    
0.013     9978.833  22.319    
0.014     9973.274  27.809    
0.015     9966.439  34.568    
0.016     9958.042  42.873    
0.017     9947.732  53.059    
0.018     9935.081  65.536    
0.019     9919.570  80.795    
0.020     9900.567  99.425    
0.021     9877.306  122.130   
0.022     9848.864  149.741   
0.023     9814.132  183.232   
0.024     9771.786  223.727   
0.025     9720.255  272.509   
0.026     9657.689  331.009   
0.027     9581.939  400.784   
0.028     9490.529  483.465   
0.029     9380.666  580.678   
0.030     9249.255  693.923   
0.031     9092.963  824.397   
0.032     8908.329  972.772   
0.033     8691.932  1138.934  
0.034     8440.639  1321.681  
0.035     8151.928  1518.438  
0.036     7824.283  1725.027  
0.037     7457.637  1935.547  
0.038     7053.827  2142.447  
0.039     6616.996  2336.826  
0.040     6153.876  2509.006  
0.041     5673.870  2649.350  
0.042     5188.870  2749.281  
0.043     4712.795  2802.391  
0.044     4260.841  2805.522  
0.045     3848.513  2759.689  
0.046     3490.542  2670.726  
0.047     3199.813  2549.563  
0.048     2986.436  2411.958  
0.049     2857.064  2277.383  
0.050     2814.541  2166.510  
0.051     2857.881  2096.953  
0.052     2982.569  2078.156  
0.053     3181.116  2108.292  
0.054     3443.768  2175.705  
0.055     3759.300  2263.882  
0.056     4115.794  2356.488  
0.057     4501.338  2440.309  
0.058     4904.609  2506.147  
0.059     5315.306  2548.557  
0.060     5724.441  2565.155  
0.061     6124.497  2555.851  
0.062     6509.461  2522.169  
0.063     6874.777  2466.670  
0.064     7217.232  2392.509  
0.065     7534.799  2303.087  
0.066     7826.463  2201.811  
0.067     8092.035  2091.911  
0.068     8331.986  1976.337  
0.069     8547.278  1857.693  
0.070     8739.232  1738.208  
0.071     8909.402  1619.739  
0.072     9059.479  1503.788  
0.073     9191.210  1391.528  
0.074     9306.341  1283.840  
0.075     9406.566  1181.352  
0.076     9493.500  1084.478  
0.077     9568.654  993.448   
0.078     9633.424  908.349   
0.079     9689.087  829.151   
0.080     9736.795  755.733   
0.081     9777.583  687.908   
0.082     9812.371  625.437   
0.083     9841.974  568.050   
0.084     9867.105  515.455   
0.085     9888.391  467.351   
0.086     9906.375  423.433   
0.087     9921.526  383.401   
0.088     9934.248  346.964   
0.089     9944.886  313.843   
0.090     9953.735  283.777   
0.091     9961.039  256.525   
0.092     9967.004  231.871   
0.093     9971.799  209.630   
0.094     9975.557  189.659   
0.095     9978.383  171.870   
0.096     9980.351  156.255   
0.097     9981.510  142.921   
0.098     9981.880  132.130   
0.099     9981.458  124.339   
0.100     9980.211  120.210   
0.101     9978.079  120.529   
0.102     9974.973  126.045   
0.103     9970.771  137.294   
0.104     9965.317  154.556   
0.105     9958.414  177.956   
0.106     9949.827  207.610   
0.107     9939.275  243.707   
0.108     9926.431  286.530   
0.109     9910.917  336.437   
0.110     9892.308  393.817   
0.111     9870.129  459.053   
0.112     9843.860  532.475   
0.113     9812.944  614.331   
0.114     9776.793  704.743   
0.115     9734.804  803.689   
0.116     9686.372  910.970   
0.117     9630.916  1026.201  
0.118     9567.896  1148.795  
0.119     9496.839  1277.967  
0.120     9417.371  1412.738  
0.121     9329.236  1551.957  
0.122     9232.331  1694.322  
0.123     9126.723  1838.423  
0.124     9012.668  1982.783  
0.125     8890.635  2125.913  
0.126     8761.307  2266.370  
0.127     8625.590  2402.804  
0.128     8484.613  2533.998  
0.129     8339.724  2658.872  
0.130     8192.471  2776.449  
0.131     8044.592  2885.767  
0.132     7897.973  2985.763  
0.133     7754.595  3075.144  
0.134     7616.459  3152.316  
0.135     7485.472  3215.394  
0.136     7363.305  3262.351  
0.137     7251.243  3291.282  
0.138     7150.022  3300.784  
0.139     7059.705  3290.372  
0.140     6979.603  3260.862  
0.141     6908.285  3214.665  
0.142     6843.673  3155.902  
0.143     6783.232  3090.285  
0.144     6724.233  3024.704  
0.145     6664.053  2966.500  
0.146     6600.484  2922.475  
0.147     6532.004  2897.801  
0.148     6457.972  2895.134  
0.149     6378.736  2914.212  
0.150     6295.631  2952.120  
0.151     6210.889  3004.077  
0.152     6127.456  3064.466  
0.153     6048.757  3127.782  
0.154     5978.437  3189.299  
0.155     5920.089  3245.409  
0.156     5877.017  3293.694  
0.157     5852.033  3332.800  
0.158     5847.308  3362.218  
0.159     5864.280  3382.016  
0.160     5903.622  3392.592  
