total_time:0.01
dt:1e-06
c:188.49555921538757
n_atoms:4000
q:-9.0
time                 rho_0                std                 
0.00000000          4000.00000000       0.00000000          
0.00003000          3999.99993606       0.01130865          
0.00006000          3999.99974424       0.02261828          
0.00009000          3999.99942452       0.03393077          
0.00012000          3999.99897689       0.04524679          
0.00015000          3999.99840131       0.05656800          
0.00018000          3999.99769775       0.06789547          
0.00021000          3999.99686615       0.07923063          
0.00024000          3999.99590648       0.09057463          
0.00027000          3999.99481866       0.10192877          
0.00030000          3999.99360263       0.11329425          
0.00033000          3999.99225830       0.12467243          
0.00036000          3999.99078559       0.13606450          
0.00039000          3999.98918440       0.14747183          
0.00042000          3999.98745463       0.15889557          
0.00045000          3999.98559616       0.17033706          
0.00048000          3999.98360888       0.18179758          
0.00051000          3999.98149265       0.19327834          
0.00054000          3999.97924735       0.20478064          
0.00057000          3999.97687281       0.21630573          
0.00060000          3999.97436889       0.22785487          
0.00063000          3999.97173542       0.23942937          
0.00066000          3999.96897224       0.25103047          
0.00069000          3999.96607916       0.26265944          
0.00072000          3999.96305600       0.27431753          
0.00075000          3999.95990255       0.28600604          
0.00078000          3999.95661862       0.29772621          
0.00081000          3999.95320399       0.30947932          
0.00084000          3999.94965843       0.32126665          
0.00087000          3999.94598173       0.33308945          
0.00090000          3999.94217363       0.34494902          
0.00093000          3999.93823389       0.35684661          
0.00096000          3999.93416226       0.36878348          
0.00099000          3999.92995846       0.38076094          
0.00102000          3999.92562223       0.39278021          
0.00105000          3999.92115329       0.40484259          
0.00108000          3999.91655134       0.41694935          
0.00111000          3999.91181608       0.42910174          
0.00114000          3999.90694722       0.44130107          
0.00117000          3999.90194442       0.45354859          
0.00120000          3999.89680736       0.46584558          
0.00123000          3999.89153572       0.47819332          
0.00126000          3999.88612914       0.49059306          
0.00129000          3999.88058728       0.50304612          
0.00132000          3999.87490978       0.51555374          
0.00135000          3999.86909626       0.52811722          
0.00138000          3999.86314635       0.54073783          
0.00141000          3999.85705966       0.55341684          
0.00144000          3999.85083580       0.56615552          
0.00147000          3999.84447436       0.57895519          
0.00150000          3999.83797493       0.59181710          
0.00153000          3999.83133709       0.60474255          
0.00156000          3999.82456039       0.61773281          
0.00159000          3999.81764441       0.63078918          
0.00162000          3999.81058870       0.64391293          
0.00165000          3999.80339279       0.65710537          
0.00168000          3999.79605621       0.67036777          
0.00171000          3999.78857850       0.68370142          
0.00174000          3999.78095916       0.69710761          
0.00177000          3999.77319769       0.71058765          
0.00180000          3999.76529360       0.72414283          
0.00183000          3999.75724637       0.73777442          
0.00186000          3999.74905548       0.75148376          
0.00189000          3999.74072039       0.76527211          
0.00192000          3999.73224057       0.77914079          
0.00195000          3999.72361545       0.79309110          
0.00198000          3999.71484449       0.80712435          
0.00201000          3999.70592711       0.82124184          
0.00204000          3999.69686273       0.83544488          
0.00207000          3999.68765075       0.84973478          
0.00210000          3999.67829060       0.86411285          
0.00213000          3999.66878164       0.87858042          
0.00216000          3999.65912327       0.89313878          
0.00219000          3999.64931487       0.90778928          
0.00222000          3999.63935578       0.92253323          
0.00225000          3999.62924536       0.93737195          
0.00228000          3999.61898297       0.95230678          
0.00231000          3999.60856792       0.96733904          
0.00234000          3999.59799954       0.98247006          
0.00237000          3999.58727715       0.99770119          
0.00240000          3999.57640005       1.01303375          
0.00243000          3999.56536754       1.02846909          
0.00246000          3999.55417888       1.04400857          
0.00249000          3999.54283337       1.05965352          
0.00252000          3999.53133025       1.07540530          
0.00255000          3999.51966879       1.09126526          
0.00258000          3999.50784823       1.10723476          
0.00261000          3999.49586779       1.12331516          
0.00264000          3999.48372670       1.13950784          
0.00267000          3999.47142417       1.15581415          
0.00270000          3999.45895940       1.17223548          
0.00273000          3999.44633159       1.18877320          
0.00276000          3999.43353990       1.20542868          
