Time      Mean      STD       
0.000     9999.017  0.721     
0.000     9999.017  0.721     
0.000     9999.016  0.722     
0.000     9999.016  0.723     
0.000     9999.014  0.729     
0.000     9999.006  0.744     
0.000     9998.993  0.765     
0.001     9998.934  0.849     
0.001     9998.839  0.970     
0.002     9998.706  1.126     
0.002     9998.536  1.311     
0.003     9998.326  1.526     
0.003     9998.072  1.777     
0.004     9997.578  2.243     
0.005     9996.962  2.807     
0.005     9996.204  3.488     
0.006     9995.306  4.279     
0.007     9994.213  5.238     
0.008     9991.596  7.511     
0.009     9988.080  10.537    
0.011     9983.370  14.602    
0.012     9977.090  20.019    
0.013     9968.717  27.164    
0.015     9957.674  36.632    
0.016     9942.761  49.215    
0.018     9923.364  65.645    
0.019     9897.719  87.158    
0.021     9842.102  133.488   
0.023     9757.740  203.620   
0.024     9676.271  270.343   
0.026     9569.034  356.764   
0.027     9428.379  467.512   
0.029     9245.169  608.722   
0.030     9009.717  783.361   
0.032     8710.841  993.698   
0.033     8448.735  1168.374  
0.034     8144.578  1360.775  
0.035     7795.023  1565.154  
0.036     7400.654  1776.156  
0.037     6963.033  1986.330  
0.038     6484.020  2183.180  
0.039     5975.434  2356.419  
0.040     5444.932  2492.061  
0.041     4909.240  2581.026  
0.042     4384.878  2613.353  
0.043     3890.945  2586.874  
0.044     3447.846  2503.621  
0.045     3169.323  2414.739  
0.045     2933.076  2307.322  
0.046     2743.636  2189.195  
0.047     2605.752  2070.246  
0.048     2520.104  1962.724  
0.048     2488.673  1877.513  
0.049     2512.374  1823.580  
0.050     2588.649  1807.164  
0.050     2714.575  1828.186  
0.051     2887.301  1879.244  
0.052     3101.166  1953.200  
0.053     3350.795  2038.181  
0.053     3630.060  2126.028  
0.054     3933.236  2207.735  
0.055     4255.304  2277.400  
0.056     4589.378  2332.136  
0.056     4929.689  2370.577  
0.057     5271.462  2391.861  
0.058     5610.169  2396.967  
0.059     5942.451  2386.634  
0.059     6264.589  2361.665  
0.060     6573.774  2324.477  
0.061     6868.727  2277.200  
0.062     7147.919  2220.408  
0.062     7410.117  2155.599  
0.063     7655.469  2083.960  
0.064     7883.198  2007.132  
0.065     8216.304  1873.210  
0.066     8506.690  1731.309  
0.067     8757.835  1583.515  
0.069     8972.908  1433.888  
0.070     9155.636  1284.441  
0.071     9309.942  1137.609  
0.072     9439.370  994.674   
0.074     9601.572  783.466   
0.076     9699.489  633.062   
0.077     9775.062  502.206   
0.079     9832.817  391.507   
0.080     9876.477  301.163   
0.082     9909.268  228.702   
0.083     9933.680  171.792   
0.085     9951.640  128.387   
0.087     9970.991  79.008    
0.087     9972.501  74.952    
0.088     9973.909  71.200    
0.088     9976.465  64.159    
0.089     9978.732  57.860    
0.089     9980.744  52.047    
0.090     9982.480  46.960    
0.090     9983.997  42.271    
0.091     9985.293  38.113    
0.091     9986.396  34.471    
0.092     9987.310  31.224    
0.092     9988.042  28.325    
0.093     9988.599  26.034    
0.093     9988.999  24.135    
0.094     9989.232  22.727    
0.094     9989.295  21.957    
0.095     9989.223  21.683    
0.095     9988.996  22.005    
0.096     9988.603  22.950    
0.096     9988.033  24.534    
0.097     9987.288  26.580    
0.097     9986.393  29.068    
0.098     9985.299  32.268    
0.098     9983.984  35.824    
0.099     9982.449  39.826    
0.099     9980.709  44.501    
0.100     9978.712  49.633    
0.100     9976.443  55.281    
0.101     9973.869  61.763    
0.101     9970.977  68.765    
0.102     9967.734  76.464    
0.102     9964.084  85.280    
0.103     9960.041  94.777    
0.103     9955.495  105.245   
0.104     9950.442  117.089   
