Time      Mean      STD       
0.000     10000.000 0.000     
0.000     10000.000 0.011     
0.000     10000.000 0.023     
0.000     9999.999  0.034     
0.000     9999.999  0.045     
0.000     9999.998  0.057     
0.000     9999.998  0.068     
0.000     9999.997  0.079     
0.000     9999.996  0.091     
0.000     9999.995  0.102     
0.000     9999.994  0.113     
0.000     9999.992  0.125     
0.000     9999.991  0.136     
0.000     9999.989  0.148     
0.000     9999.987  0.159     
0.000     9999.986  0.170     
0.000     9999.984  0.182     
0.001     9999.981  0.193     
0.001     9999.979  0.205     
0.001     9999.977  0.217     
0.001     9999.974  0.228     
0.001     9999.972  0.240     
0.001     9999.969  0.251     
0.001     9999.966  0.263     
0.001     9999.963  0.275     
0.001     9999.960  0.286     
0.001     9999.956  0.298     
0.001     9999.953  0.310     
0.001     9999.949  0.322     
0.001     9999.946  0.334     
0.001     9999.942  0.346     
0.001     9999.938  0.358     
0.001     9999.934  0.370     
0.001     9999.930  0.382     
0.001     9999.925  0.394     
0.001     9999.921  0.406     
0.001     9999.916  0.418     
0.001     9999.911  0.431     
0.001     9999.906  0.443     
0.001     9999.901  0.455     
0.001     9999.896  0.468     
0.001     9999.891  0.480     
0.001     9999.885  0.493     
0.001     9999.879  0.506     
0.001     9999.874  0.518     
0.001     9999.868  0.531     
0.001     9999.862  0.544     
0.001     9999.855  0.557     
0.001     9999.849  0.570     
0.001     9999.843  0.583     
0.002     9999.836  0.596     
0.002     9999.829  0.609     
0.002     9999.822  0.622     
0.002     9999.815  0.636     
0.002     9999.808  0.649     
0.002     9999.800  0.663     
0.002     9999.793  0.676     
0.002     9999.785  0.690     
0.002     9999.777  0.704     
0.002     9999.769  0.717     
0.002     9999.761  0.731     
0.002     9999.753  0.745     
0.002     9999.744  0.760     
0.002     9999.736  0.774     
0.002     9999.727  0.788     
0.002     9999.718  0.802     
0.002     9999.709  0.817     
0.002     9999.699  0.832     
0.002     9999.690  0.846     
0.002     9999.680  0.861     
0.002     9999.670  0.876     
0.002     9999.660  0.891     
0.002     9999.650  0.906     
0.002     9999.640  0.922     
0.002     9999.630  0.937     
0.002     9999.619  0.953     
0.002     9999.608  0.968     
0.002     9999.597  0.984     
0.002     9999.586  1.000     
0.002     9999.574  1.016     
0.002     9999.563  1.032     
0.002     9999.551  1.048     
0.002     9999.539  1.065     
0.002     9999.527  1.081     
0.003     9999.515  1.098     
0.003     9999.502  1.115     
0.003     9999.490  1.132     
0.003     9999.477  1.149     
0.003     9999.464  1.166     
0.003     9999.451  1.183     
0.003     9999.437  1.201     
0.003     9999.423  1.219     
0.003     9999.410  1.237     
0.003     9999.396  1.255     
0.003     9999.381  1.273     
0.003     9999.367  1.291     
0.003     9999.352  1.309     
0.003     9999.337  1.328     
0.003     9999.322  1.347     
0.003     9999.307  1.366     
0.003     9999.292  1.385     
0.003     9999.276  1.404     
0.003     9999.260  1.424     
0.003     9999.244  1.444     
0.003     9999.227  1.463     
0.003     9999.211  1.484     
0.003     9999.194  1.504     
0.003     9999.177  1.524     
0.003     9999.160  1.545     
0.003     9999.142  1.566     
0.003     9999.124  1.587     
0.003     9999.106  1.608     
0.003     9999.088  1.629     
0.003     9999.070  1.651     
0.003     9999.051  1.673     
0.003     9999.032  1.695     
0.003     9999.013  1.717     
0.004     9998.993  1.739     
0.004     9998.974  1.762     
0.004     9998.954  1.785     
0.004     9998.933  1.808     
0.004     9998.913  1.832     
0.004     9998.892  1.855     
0.004     9998.871  1.879     
0.004     9998.850  1.903     
0.004     9998.828  1.927     
0.004     9998.807  1.952     
0.004     9998.784  1.977     
0.004     9998.762  2.002     
0.004     9998.739  2.027     
0.004     9998.716  2.052     
0.004     9998.693  2.078     
0.004     9998.670  2.104     
0.004     9998.646  2.131     
0.004     9998.622  2.157     
0.004     9998.597  2.184     
0.004     9998.573  2.211     
0.004     9998.548  2.239     
0.004     9998.522  2.266     
0.004     9998.497  2.294     
0.004     9998.471  2.322     
0.004     9998.444  2.351     
0.004     9998.418  2.380     
0.004     9998.391  2.409     
0.004     9998.364  2.438     
0.004     9998.336  2.468     
0.004     9998.308  2.498     
0.004     9998.280  2.529     
0.004     9998.251  2.559     
0.004     9998.223  2.590     
0.004     9998.193  2.622     
0.005     9998.164  2.653     
0.005     9998.134  2.685     
0.005     9998.103  2.718     
0.005     9998.073  2.750     
0.005     9998.041  2.783     
0.005     9998.010  2.817     
0.005     9997.978  2.850     
0.005     9997.946  2.885     
0.005     9997.913  2.919     
0.005     9997.880  2.954     
0.005     9997.847  2.989     
0.005     9997.813  3.024     
0.005     9997.779  3.060     
0.005     9997.745  3.097     
0.005     9997.710  3.133     
0.005     9997.674  3.170     
0.005     9997.638  3.208     
0.005     9997.602  3.246     
0.005     9997.566  3.284     
0.005     9997.529  3.323     
0.005     9997.491  3.362     
0.005     9997.453  3.401     
0.005     9997.415  3.441     
0.005     9997.376  3.482     
0.005     9997.337  3.523     
0.005     9997.297  3.564     
0.005     9997.257  3.606     
0.005     9997.216  3.648     
0.005     9997.175  3.690     
0.005     9997.133  3.733     
0.005     9997.091  3.777     
0.005     9997.048  3.821     
0.005     9997.005  3.865     
0.006     9996.962  3.910     
0.006     9996.918  3.956     
0.006     9996.873  4.002     
0.006     9996.828  4.048     
0.006     9996.782  4.095     
0.006     9996.736  4.143     
0.006     9996.689  4.191     
0.006     9996.642  4.239     
0.006     9996.594  4.288     
0.006     9996.546  4.338     
0.006     9996.497  4.388     
0.006     9996.448  4.438     
0.006     9996.398  4.490     
0.006     9996.347  4.541     
0.006     9996.296  4.594     
0.006     9996.244  4.647     
0.006     9996.192  4.700     
0.006     9996.139  4.754     
0.006     9996.085  4.809     
0.006     9996.031  4.864     
0.006     9995.976  4.920     
0.006     9995.921  4.976     
0.006     9995.865  5.033     
0.006     9995.808  5.091     
0.006     9995.750  5.149     
0.006     9995.692  5.208     
0.006     9995.634  5.268     
0.006     9995.574  5.328     
0.006     9995.514  5.389     
0.006     9995.454  5.451     
0.006     9995.392  5.513     
0.006     9995.330  5.576     
0.006     9995.267  5.640     
0.007     9995.204  5.704     
0.007     9995.140  5.769     
0.007     9995.075  5.835     
0.007     9995.009  5.902     
0.007     9994.943  5.969     
0.007     9994.875  6.037     
0.007     9994.807  6.106     
0.007     9994.739  6.175     
0.007     9994.669  6.245     
0.007     9994.599  6.316     
0.007     9994.528  6.388     
0.007     9994.456  6.461     
0.007     9994.383  6.534     
0.007     9994.309  6.609     
0.007     9994.235  6.684     
0.007     9994.160  6.759     
0.007     9994.084  6.836     
0.007     9994.007  6.914     
0.007     9993.929  6.992     
0.007     9993.850  7.072     
0.007     9993.771  7.152     
0.007     9993.690  7.233     
0.007     9993.609  7.315     
0.007     9993.527  7.398     
0.007     9993.443  7.481     
0.007     9993.359  7.566     
0.007     9993.274  7.652     
0.007     9993.188  7.738     
0.007     9993.101  7.826     
0.007     9993.013  7.914     
0.007     9992.924  8.004     
0.007     9992.834  8.094     
0.007     9992.743  8.186     
0.007     9992.651  8.278     
0.008     9992.558  8.372     
0.008     9992.463  8.466     
0.008     9992.368  8.562     
0.008     9992.272  8.659     
0.008     9992.174  8.756     
0.008     9992.076  8.855     
0.008     9991.976  8.955     
0.008     9991.876  9.056     
0.008     9991.774  9.158     
0.008     9991.671  9.262     
0.008     9991.567  9.366     
0.008     9991.461  9.472     
0.008     9991.355  9.578     
0.008     9991.247  9.686     
0.008     9991.138  9.795     
0.008     9991.028  9.906     
0.008     9990.917  10.017    
0.008     9990.804  10.130    
0.008     9990.690  10.244    
0.008     9990.575  10.359    
0.008     9990.459  10.476    
0.008     9990.341  10.594    
0.008     9990.222  10.713    
0.008     9990.101  10.834    
0.008     9989.980  10.955    
0.008     9989.856  11.079    
0.008     9989.732  11.203    
0.008     9989.606  11.329    
0.008     9989.479  11.456    
0.008     9989.350  11.585    
0.008     9989.220  11.715    
0.008     9989.088  11.847    
0.008     9988.955  11.980    
0.009     9988.820  12.115    
0.009     9988.684  12.251    
0.009     9988.546  12.388    
0.009     9988.407  12.527    
0.009     9988.266  12.668    
0.009     9988.124  12.810    
0.009     9987.980  12.954    
0.009     9987.835  13.099    
0.009     9987.687  13.246    
0.009     9987.539  13.395    
0.009     9987.388  13.545    
0.009     9987.236  13.697    
0.009     9987.082  13.850    
0.009     9986.926  14.006    
0.009     9986.769  14.163    
0.009     9986.610  14.321    
0.009     9986.449  14.482    
0.009     9986.286  14.644    
0.009     9986.122  14.808    
0.009     9985.955  14.974    
0.009     9985.787  15.142    
0.009     9985.617  15.311    
0.009     9985.445  15.483    
0.009     9985.271  15.656    
0.009     9985.095  15.831    
0.009     9984.917  16.009    
0.009     9984.738  16.188    
0.009     9984.556  16.369    
0.009     9984.372  16.552    
0.009     9984.186  16.737    
0.009     9983.998  16.925    
0.009     9983.808  17.114    
0.009     9983.616  17.305    
0.010     9983.421  17.499    
0.010     9983.225  17.695    
0.010     9983.026  17.892    
0.010     9982.825  18.092    
0.010     9982.622  18.295    
0.010     9982.417  18.499    
0.010     9982.209  18.706    
0.010     9981.999  18.915    
0.010     9981.786  19.126    
0.010     9981.572  19.340    
0.010     9981.354  19.556    
0.010     9981.135  19.774    
0.010     9980.913  19.995    
0.010     9980.688  20.218    
0.010     9980.461  20.444    
0.010     9980.232  20.672    
0.010     9980.000  20.903    
0.010     9979.765  21.136    
0.010     9979.527  21.372    
0.010     9979.288  21.611    
0.010     9979.045  21.852    
0.010     9978.800  22.096    
0.010     9978.551  22.342    
0.010     9978.301  22.591    
0.010     9978.047  22.843    
0.010     9977.791  23.098    
0.010     9977.531  23.355    
0.010     9977.269  23.616    
0.010     9977.004  23.879    
0.010     9976.736  24.145    
0.010     9976.465  24.414    
0.010     9976.191  24.686    
0.010     9975.914  24.961    
0.010     9975.633  25.239    
0.011     9975.350  25.520    
0.011     9975.064  25.804    
0.011     9974.774  26.092    
0.011     9974.481  26.382    
0.011     9974.185  26.676    
0.011     9973.885  26.973    
0.011     9973.583  27.273    
0.011     9973.277  27.576    
0.011     9972.967  27.883    
0.011     9972.654  28.193    
0.011     9972.338  28.507    
0.011     9972.018  28.824    
0.011     9971.694  29.145    
0.011     9971.367  29.469    
0.011     9971.036  29.796    
0.011     9970.702  30.127    
0.011     9970.364  30.462    
0.011     9970.022  30.801    
0.011     9969.676  31.143    
0.011     9969.327  31.489    
0.011     9968.973  31.839    
0.011     9968.616  32.192    
0.011     9968.254  32.550    
0.011     9967.889  32.911    
0.011     9967.520  33.276    
0.011     9967.146  33.646    
0.011     9966.769  34.019    
0.011     9966.387  34.397    
0.011     9966.001  34.778    
0.011     9965.611  35.164    
0.011     9965.216  35.554    
0.011     9964.817  35.948    
0.011     9964.414  36.347    
0.012     9964.006  36.750    
0.012     9963.593  37.157    
0.012     9963.176  37.569    
0.012     9962.755  37.985    
0.012     9962.329  38.406    
0.012     9961.898  38.832    
0.012     9961.462  39.262    
0.012     9961.021  39.696    
0.012     9960.576  40.136    
0.012     9960.126  40.580    
0.012     9959.670  41.029    
0.012     9959.210  41.483    
0.012     9958.744  41.942    
