Time      Mean      STD       
0.000     9999.017  0.692     
0.000     9999.017  0.692     
0.000     9999.017  0.692     
0.000     9999.016  0.693     
0.000     9999.014  0.695     
0.000     9999.006  0.706     
0.000     9998.992  0.722     
0.001     9998.908  0.821     
0.002     9998.766  0.979     
0.002     9998.562  1.190     
0.003     9998.297  1.450     
0.003     9997.966  1.761     
0.004     9997.568  2.125     
0.005     9996.819  2.792     
0.006     9995.890  3.607     
0.007     9994.761  4.585     
0.007     9993.412  5.748     
0.008     9991.813  7.122     
0.010     9987.723  10.649    
0.012     9982.244  15.337    
0.013     9974.918  21.597    
0.015     9965.155  29.927    
0.017     9952.176  40.955    
0.019     9935.042  55.483    
0.020     9912.102  74.537    
0.022     9882.260  99.605    
0.025     9815.187  155.063   
0.027     9712.790  238.468   
0.030     9557.813  361.796   
0.033     9325.780  540.366   
0.035     9082.670  719.359   
0.037     8762.863  941.647   
0.039     8350.546  1207.665  
0.041     7830.303  1510.959  
0.043     7196.924  1832.017  
0.045     6452.718  2143.090  
0.047     5621.002  2403.084  
0.049     4744.299  2569.792  
0.050     4091.363  2611.882  
0.052     3481.074  2573.461  
0.053     2947.829  2458.489  
0.055     2523.206  2283.828  
0.056     2232.977  2082.852  
0.057     2111.782  1938.509  
0.059     2084.038  1830.529  
0.060     2148.185  1779.200  
0.061     2299.899  1793.260  
0.062     2531.767  1864.166  
0.063     2833.568  1972.778  
0.064     3192.709  2096.693  
0.066     3596.176  2216.522  
0.067     4031.197  2318.466  
0.068     4485.398  2393.190  
0.069     4946.998  2436.460  
0.070     5405.619  2446.944  
0.071     5852.807  2426.324  
0.073     6281.949  2377.695  
0.074     6687.687  2305.364  
0.075     7066.331  2213.878  
0.076     7415.549  2107.787  
0.077     7734.344  1991.645  
0.078     8022.639  1869.738  
0.080     8281.354  1745.759  
0.081     8511.662  1622.864  
0.082     8715.358  1503.553  
0.083     8894.326  1389.487  
0.084     9050.980  1281.891  
0.085     9187.306  1181.383  
0.087     9305.484  1087.908  
