Time      Mean      STD       
0.000     10000.000 2.000     
0.001     9999.928  2.036     
0.002     9999.710  2.159     
0.003     9999.332  2.404     
0.004     9998.772  2.821     
0.005     9997.999  3.464     
0.006     9996.966  4.388     
0.007     9995.614  5.654     
0.008     9993.865  7.337     
0.009     9991.617  9.532     
0.010     9988.740  12.366    
0.011     9985.068  15.998    
0.012     9980.390  20.637    
0.013     9974.436  26.544    
0.014     9966.866  34.051    
0.015     9957.248  43.577    
0.016     9945.038  55.646    
0.017     9929.550  70.911    
0.018     9909.921  90.184    
0.019     9885.073  114.462   
0.020     9853.662  144.962   
0.021     9814.021  183.147   
0.022     9764.104  230.750   
0.023     9701.416  289.780   
0.024     9622.954  362.498   
0.025     9525.161  451.347   
0.026     9403.907  558.815   
0.027     9254.523  687.199   
0.028     9071.921  838.265   
0.029     8850.826  1012.780  
0.030     8586.171  1209.943  
0.031     8273.663  1426.782  
0.032     7910.542  1657.615  
0.033     7496.467  1893.742  
0.034     7034.452  2123.549  
0.035     6531.678  2333.169  
0.036     5999.984  2507.775  
0.037     5455.831  2633.448  
0.038     4919.610  2699.392  
0.039     4414.250  2700.195  
0.040     3963.283  2637.771  
0.041     3588.618  2522.654  
0.042     3308.378  2374.337  
0.043     3135.174  2220.102  
0.044     3075.049  2091.213  
0.045     3127.243  2015.186  
0.046     3284.726  2005.615  
0.047     3535.339  2056.454  
0.048     3863.309  2146.614  
0.049     4250.875  2250.568  
0.050     4679.826  2346.567  
0.051     5132.770  2419.733  
0.052     5594.085  2461.863  
0.053     6050.507  2470.033  
0.054     6491.403  2445.051  
0.055     6908.786  2390.126  
0.056     7297.135  2309.818  
0.057     7653.103  2209.265  
0.058     7975.155  2093.638  
0.059     8263.197  1967.785  
0.060     8518.222  1836.021  
0.061     8741.993  1702.021  
0.062     8936.774  1568.797  
0.063     9105.113  1438.718  
0.064     9249.668  1313.573  
0.065     9373.087  1194.635  
0.066     9477.913  1082.747  
0.067     9566.530  978.394   
0.068     9641.126  881.779   
0.069     9703.674  792.884   
0.070     9755.935  711.528   
0.071     9799.457  637.412   
0.072     9835.590  570.155   
0.073     9865.502  509.329   
0.074     9890.193  454.478   
0.075     9910.517  405.137   
0.076     9927.197  360.849   
0.077     9940.840  321.169   
0.078     9951.955  285.677   
0.079     9960.962  253.976   
0.080     9968.208  225.705   
0.081     9973.976  200.535   
0.082     9978.493  178.179   
0.083     9981.934  158.403   
0.084     9984.433  141.039   
0.085     9986.083  126.019   
0.086     9986.940  113.422   
0.087     9987.024  103.542   
0.088     9986.318  96.961    
0.089     9984.770  94.556    
0.090     9982.284  97.342    
0.091     9978.724  106.182   
0.092     9973.902  121.590   
0.093     9967.575  143.825   
0.094     9959.438  173.132   
0.095     9949.117  209.893   
0.096     9936.163  254.649   
0.097     9920.045  308.053   
0.098     9900.148  370.799   
0.099     9875.777  443.543   
0.100     9846.157  526.837   
0.101     9810.451  621.059   
0.102     9767.781  726.353   
0.103     9717.250  842.580   
0.104     9657.986  969.281   
0.105     9589.182  1105.655  
0.106     9510.152  1250.563  
0.107     9420.379  1402.547  
0.108     9319.578  1559.885  
0.109     9207.745  1720.663  
0.110     9085.211  1882.867  
0.111     8952.683  2044.473  
0.112     8811.280  2203.486  
0.113     8662.560  2357.898  
0.114     8508.519  2505.535  
0.115     8351.566  2643.820  
0.116     8194.436  2769.547  
0.117     8040.026  2878.816  
0.118     7891.140  2967.253  
0.119     7750.153  3030.572  
0.120     7618.638  3065.423  
0.121     7497.026  3070.358  
0.122     7384.406  3046.727  
0.123     7278.515  2999.269  
0.124     7175.990  2936.190  
0.125     7072.853  2868.533  
0.126     6965.154  2808.677  
0.127     6849.672  2768.049  
0.128     6724.543  2754.548  
0.129     6589.693  2770.649  
0.130     6447.029  2813.110  
0.131     6300.339  2874.440  
0.132     6154.952  2945.317  
0.133     6017.215  3016.881  
0.134     5893.874  3082.231  
0.135     5791.446  3137.006  
0.136     5715.670  3179.266  
0.137     5671.070  3208.955  
0.138     5660.685  3227.185  
0.139     5685.948  3235.546  
0.140     5746.715  3235.531  
0.141     5841.405  3228.181  
0.142     5967.234  3213.929  
0.143     6120.484  3192.640  
0.144     6296.805  3163.763  
0.145     6491.492  3126.553  
0.146     6699.750  3080.284  
0.147     6916.904  3024.416  
0.148     7138.577  2958.716  
0.149     7360.810  2883.302  
0.150     7580.144  2798.643  
0.151     7793.658  2705.520  
0.152     7998.983  2604.966  
0.153     8194.278  2498.193  
0.154     8378.196  2386.518  
0.155     8549.837  2271.298  
0.156     8708.686  2153.879  
0.157     8854.559  2035.548  
