Time      Mean      STD       
0.00000000          4997.99979999       1.41411453          
0.00100000          4997.92812084       1.46567652          
0.00200000          4997.70538927       1.63556309          
0.00300000          4997.30770282       1.96518937          
0.00400000          4996.69240574       2.51393349          
0.00500000          4995.79355686       3.35651676          
0.00600000          4994.51494793       4.59038691          
0.00700000          4992.71997055       6.34925662          
0.00800000          4990.21733650       8.81951820          
0.00900000          4986.74129672       12.26010202         
0.01000000          4981.92457579       17.02784485         
0.01100000          4975.26176315       23.61035670         
0.01200000          4966.06045118       32.66783366         
0.01300000          4953.37715592       45.08415625         
0.01400000          4935.93535585       62.02520131         
0.01500000          4912.02451060       84.99744070         
0.01600000          4879.38283462       115.89108997        
0.01700000          4835.07469637       156.97780682        
0.01800000          4775.38813475       210.81304376        
0.01900000          4695.80123310       279.97169464        
0.02000000          4591.09752609       366.53547628        
0.02100000          4455.74274081       471.27676076        
0.02200000          4284.64752105       592.57912514        
0.02300000          4074.39761182       725.31685276        
0.02400000          3824.89513757       860.14380084        
0.02500000          3541.11478274       983.78930274        
0.02600000          3234.40890675       1080.85092182       
0.02700000          2922.66002928       1137.12371237       
0.02800000          2628.75673992       1143.85541085       
0.02900000          2377.40085643       1101.81563235       
0.03000000          2190.93850484       1023.96848812       
0.03100000          2085.38366299       935.46822993        
0.03200000          2067.78888276       868.45097534        
0.03300000          2135.61844295       848.07309448        
0.03400000          2278.06984673       876.02634241        
0.03500000          2478.71543235       931.52339838        
0.03600000          2718.60237182       988.91098566        
0.03700000          2979.05248802       1030.12530975       
0.03800000          3243.69965195       1046.59637383       
0.03900000          3499.62561141       1036.82896783       
0.04000000          3737.69504427       1003.58684822       
0.04100000          3952.31243270       951.71572386        
0.04200000          4140.84505635       886.67512219        
0.04300000          4302.91723238       813.64660861        
0.04400000          4439.71811083       737.06542650        
0.04500000          4553.40390176       660.44036874        
0.04600000          4646.62750968       586.35341266        
0.04700000          4722.19704541       516.55850021        
0.04800000          4782.84742065       452.12397965        
0.04900000          4831.10225144       393.58365848        
0.05000000          4869.20271072       341.07663124        
