Time      Mean      STD       
0.00000000          10000.00000000      0.00000000          
0.00006000          9999.99974420       0.02261993          
0.00012000          9999.99897669       0.04525040          
0.00018000          9999.99769719       0.06790347          
0.00024000          9999.99590519       0.09058909          
0.00030000          9999.99360003       0.11331735          
0.00036000          9999.99078080       0.13610019          
0.00042000          9999.98744643       0.15894811          
0.00048000          9999.98359565       0.18187215          
0.00054000          9999.97922697       0.20488326          
0.00060000          9999.97433872       0.22799209          
0.00066000          9999.96892903       0.25121006          
0.00072000          9999.96299582       0.27454764          
0.00078000          9999.95653681       0.29801619          
0.00084000          9999.94954954       0.32162699          
0.00090000          9999.94203133       0.34539083          
0.00096000          9999.93397928       0.36931886          
0.00102000          9999.92539032       0.39342239          
0.00108000          9999.91626114       0.41771284          
0.00114000          9999.90658826       0.44220127          
0.00120000          9999.89636797       0.46689903          
0.00126000          9999.88559634       0.49181773          
0.00132000          9999.87426924       0.51696857          
0.00138000          9999.86238234       0.54236351          
0.00144000          9999.84993107       0.56801373          
0.00150000          9999.83691067       0.59393123          
0.00156000          9999.82331614       0.62012789          
0.00162000          9999.80914228       0.64661516          
0.00168000          9999.79438364       0.67340531          
0.00174000          9999.77903457       0.70051031          
0.00180000          9999.76308919       0.72794232          
0.00186000          9999.74654139       0.75571345          
0.00192000          9999.72938481       0.78383621          
0.00198000          9999.71161290       0.81232292          
0.00204000          9999.69321882       0.84118612          
0.00210000          9999.67419554       0.87043861          
0.00216000          9999.65453577       0.90009315          
0.00222000          9999.63423196       0.93016250          
0.00228000          9999.61327634       0.96065993          
0.00234000          9999.59166087       0.99159847          
0.00240000          9999.56937727       1.02299156          
0.00246000          9999.54641699       1.05485264          
0.00252000          9999.52277125       1.08719532          
0.00258000          9999.49843098       1.12003332          
0.00264000          9999.47338684       1.15338066          
0.00270000          9999.44762925       1.18725137          
0.00276000          9999.42114833       1.22165984          
0.00282000          9999.39393393       1.25662045          
0.00288000          9999.36597562       1.29214790          
0.00294000          9999.33726270       1.32825686          
0.00300000          9999.30778416       1.36496253          
0.00306000          9999.27752870       1.40228003          
0.00312000          9999.24648473       1.44022480          
0.00318000          9999.21464035       1.47881248          
0.00324000          9999.18198337       1.51805898          
0.00330000          9999.14850127       1.55798038          
0.00336000          9999.11418123       1.59859296          
0.00342000          9999.07901009       1.63991323          
0.00348000          9999.04297439       1.68195807          
0.00354000          9999.00606031       1.72474443          
0.00360000          9998.96825371       1.76828976          
0.00366000          9998.92954012       1.81261148          
0.00372000          9998.88990470       1.85772763          
0.00378000          9998.84933227       1.90365607          
0.00384000          9998.80780729       1.95041544          
0.00390000          9998.76531386       1.99802428          
0.00396000          9998.72183569       2.04650172          
0.00402000          9998.67735615       2.09586697          
0.00408000          9998.63185818       2.14613975          
0.00414000          9998.58532437       2.19734000          
0.00420000          9998.53773690       2.24948791          
0.00426000          9998.48907754       2.30260423          
0.00432000          9998.43932767       2.35670992          
0.00438000          9998.38846822       2.41182618          
0.00444000          9998.33647973       2.46797489          
0.00450000          9998.28334229       2.52517799          
0.00456000          9998.22903556       2.58345801          
0.00462000          9998.17353875       2.64283772          
0.00468000          9998.11683060       2.70334047          
0.00474000          9998.05888942       2.76498985          
