Time      Mean      STD       
0.00000000          9999.99980008       1.99985002          
0.00100000          9999.92861189       2.03637915          
0.00200000          9999.71343286       2.15732968          
0.00300000          9999.34938336       2.39225706          
0.00400000          9998.82820936       2.77738277          
0.00500000          9998.13809767       3.34439024          
0.00600000          9997.26341186       4.11712732          
0.00700000          9996.18434328       5.11541189          
0.00800000          9994.87646978       6.36016711          
0.00900000          9993.31021312       7.87681465          
0.01000000          9991.45018383       9.69703072          
0.01100000          9989.25440025       11.85973380         
0.01200000          9986.67336629       14.41188455         
0.01300000          9983.64898990       17.40935958         
0.01400000          9980.11332163       20.91799752         
0.01500000          9975.98709022       25.01485255         
0.01600000          9971.17800903       29.78967039         
0.01700000          9965.57882479       35.34659647         
0.01800000          9959.06507739       41.80612501         
0.01900000          9951.49253739       49.30729578         
0.02000000          9942.69428656       58.01014162         
0.02100000          9932.47740635       68.09838195         
0.02200000          9920.61924066       79.78234601         
0.02300000          9906.86320316       93.30209172         
0.02400000          9890.91410653       108.93066144        
0.02500000          9872.43300343       126.97738218        
0.02600000          9851.03154715       147.79107324        
0.02700000          9826.26590690       171.76296663        
0.02800000          9797.63031068       199.32907324        
0.02900000          9764.55033980       230.97163900        
0.03000000          9726.37616732       267.21923065        
0.03100000          9682.37602100       308.64487133        
0.03200000          9631.73026153       355.86151839        
0.03300000          9573.52660256       409.51404850        
0.03400000          9506.75715842       470.26680504        
0.03500000          9430.31818683       538.78569402        
0.03600000          9343.01358811       615.71381836        
0.03700000          9243.56341634       701.63975824        
0.03800000          9130.61882656       797.05788167        
0.03900000          9002.78499477       902.32054988        
0.04000000          8858.65355801       1017.58280326       
0.04100000          8696.84597992       1142.74108782       
0.04200000          8516.06889464       1277.36878689       
0.04300000          8315.18186588       1420.65268285       
0.04400000          8093.27708152       1571.33585335       
0.04500000          7849.76928170       1727.67370979       
0.04600000          7584.49273213       1887.41067187       
0.04700000          7297.80040997       2047.78508851       
0.04800000          6990.65893817       2205.56924436       
0.04900000          6664.73141866       2357.14950932       
0.05000000          6322.43944411       2498.64891408       
