Time      Mean      STD       
0.00000000          10000.00000000      0.00000000          
0.00006000          9999.99974420       0.02262059          
0.00012000          9999.99897679       0.04524990          
0.00018000          9999.99769771       0.06789667          
0.00024000          9999.99590684       0.09057091          
0.00030000          9999.99360405       0.11328197          
0.00036000          9999.99078915       0.13603870          
0.00042000          9999.98746190       0.15885002          
0.00048000          9999.98362204       0.18172502          
0.00054000          9999.97926925       0.20467300          
0.00060000          9999.97440318       0.22770246          
0.00066000          9999.96902343       0.25082253          
0.00072000          9999.96312957       0.27404269          
0.00078000          9999.95672111       0.29737085          
0.00084000          9999.94979753       0.32081660          
0.00090000          9999.94235828       0.34438850          
0.00096000          9999.93440273       0.36809541          
0.00102000          9999.92593025       0.39194567          
0.00108000          9999.91694015       0.41594857          
0.00114000          9999.90743169       0.44011208          
0.00120000          9999.89740409       0.46444510          
0.00126000          9999.88685655       0.48895599          
0.00132000          9999.87578820       0.51365335          
0.00138000          9999.86419814       0.53854518          
0.00144000          9999.85208543       0.56363993          
0.00150000          9999.83944907       0.58894597          
0.00156000          9999.82628805       0.61447120          
0.00162000          9999.81260129       0.64022401          
0.00168000          9999.79838768       0.66621218          
0.00174000          9999.78364605       0.69244368          
0.00180000          9999.76837521       0.71892633          
0.00186000          9999.75257391       0.74566798          
0.00192000          9999.73624087       0.77267647          
0.00198000          9999.71937476       0.79995932          
0.00204000          9999.70197419       0.82752410          
0.00210000          9999.68403777       0.85537834          
0.00216000          9999.66556402       0.88352946          
0.00222000          9999.64655144       0.91198488          
0.00228000          9999.62699848       0.94075187          
0.00234000          9999.60690356       0.96983751          
0.00240000          9999.58626503       0.99924912          
0.00246000          9999.56508121       1.02899368          
0.00252000          9999.54335038       1.05907820          
0.00258000          9999.52107077       1.08950964          
0.00264000          9999.49824057       1.12029486          
0.00270000          9999.47485791       1.15144057          
0.00276000          9999.45092090       1.18295362          
0.00282000          9999.42642758       1.21484062          
0.00288000          9999.40137596       1.24710822          
0.00294000          9999.37576400       1.27976289          
0.00300000          9999.34958961       1.31281118          
0.00306000          9999.32285067       1.34625957          
0.00312000          9999.29554499       1.38011425          
0.00318000          9999.26767036       1.41438174          
0.00324000          9999.23922450       1.44906815          
0.00330000          9999.21020510       1.48417983          
0.00336000          9999.18060980       1.51972285          
0.00342000          9999.15043618       1.55570340          
0.00348000          9999.11968179       1.59212748          
0.00354000          9999.08834414       1.62900113          
0.00360000          9999.05642065       1.66633032          
0.00366000          9999.02390875       1.70412108          
0.00372000          9998.99080577       1.74237928          
0.00378000          9998.95710903       1.78111074          
0.00384000          9998.92281579       1.82032136          
0.00390000          9998.88792325       1.86001686          
0.00396000          9998.85242857       1.90020314          
0.00402000          9998.81632886       1.94088590          
0.00408000          9998.77962119       1.98207083          
0.00414000          9998.74230257       2.02376365          
0.00420000          9998.70436996       2.06597001          
0.00426000          9998.66582027       2.10869562          
0.00432000          9998.62665037       2.15194603          
0.00438000          9998.58685706       2.19572693          
0.00444000          9998.54643712       2.24004383          
0.00450000          9998.50538725       2.28490243          
0.00456000          9998.46370411       2.33030825          
0.00462000          9998.42138431       2.37626690          
0.00468000          9998.37842441       2.42278383          
0.00474000          9998.33482091       2.46986478          
0.00480000          9998.29057026       2.51751511          
0.00486000          9998.24566886       2.56574049          
0.00492000          9998.20011306       2.61454641          
0.00498000          9998.15389915       2.66393841          
0.00504000          9998.10702338       2.71392209          
0.00510000          9998.05948193       2.76450299          
0.00516000          9998.01127093       2.81568663          
0.00522000          9997.96238646       2.86747858          
0.00528000          9997.91282454       2.91988448          
0.00534000          9997.86258115       2.97290983          
0.00540000          9997.81165219       3.02656029          
0.00546000          9997.76003352       3.08084143          
0.00552000          9997.70772095       3.13575893          
0.00558000          9997.65471022       3.19131834          
0.00564000          9997.60099702       3.24752541          
0.00570000          9997.54657697       3.30438576          
0.00576000          9997.49144567       3.36190515          
0.00582000          9997.43559861       3.42008926          
0.00588000          9997.37903126       3.47894382          
0.00594000          9997.32173903       3.53847460          
0.00600000          9997.26371724       3.59868745          
0.00606000          9997.20496119       3.65958813          
0.00612000          9997.14546610       3.72118251          
0.00618000          9997.08522712       3.78347646          
0.00624000          9997.02423937       3.84647591          
0.00630000          9996.96249788       3.91018680          
0.00636000          9996.89999764       3.97461511          
0.00642000          9996.83673356       4.03976681          
0.00648000          9996.77270050       4.10564799          
0.00654000          9996.70789325       4.17226470          
0.00660000          9996.64230656       4.23962310          
0.00666000          9996.57593508       4.30772928          
0.00672000          9996.50877343       4.37658952          
0.00678000          9996.44081614       4.44620999          
0.00684000          9996.37205769       4.51659701          
0.00690000          9996.30249250       4.58775692          
0.00696000          9996.23211491       4.65969602          
0.00702000          9996.16091921       4.73242081          
0.00708000          9996.08889960       4.80593765          
0.00714000          9996.01605024       4.88025313          
0.00720000          9995.94236521       4.95537379          
0.00726000          9995.86783851       5.03130621          
0.00732000          9995.79246411       5.10805707          
0.00738000          9995.71623587       5.18563304          
0.00744000          9995.63914760       5.26404093          
0.00750000          9995.56119304       5.34328747          
0.00756000          9995.48236586       5.42337962          
0.00762000          9995.40265966       5.50432422          
0.00768000          9995.32206796       5.58612829          
0.00774000          9995.24058421       5.66879888          
0.00780000          9995.15820181       5.75234299          
0.00786000          9995.07491406       5.83676783          
0.00792000          9994.99071420       5.92208065          
0.00798000          9994.90559539       6.00828864          
0.00804000          9994.81955072       6.09539916          
0.00810000          9994.73257320       6.18341958          
0.00816000          9994.64465578       6.27235739          
0.00822000          9994.55579132       6.36222006          
0.00828000          9994.46597260       6.45301521          
0.00834000          9994.37519234       6.54475048          
0.00840000          9994.28344316       6.63743356          
0.00846000          9994.19071762       6.73107226          
0.00852000          9994.09700820       6.82567439          
0.00858000          9994.00230728       6.92124790          
0.00864000          9993.90660720       7.01780076          
0.00870000          9993.80990017       7.11534103          
0.00876000          9993.71217836       7.21387682          
0.00882000          9993.61343383       7.31341636          
0.00888000          9993.51365858       7.41396791          
0.00894000          9993.41284451       7.51553979          
0.00900000          9993.31098344       7.61814048          
0.00906000          9993.20806712       7.72177844          
0.00912000          9993.10408720       7.82646221          
0.00918000          9992.99903523       7.93220051          
0.00924000          9992.89290272       8.03900201          
0.00930000          9992.78568103       8.14687555          
0.00936000          9992.67736150       8.25583000          
0.00942000          9992.56793532       8.36587434          
0.00948000          9992.45739364       8.47701761          
0.00954000          9992.34572749       8.58926894          
0.00960000          9992.23292781       8.70263753          
0.00966000          9992.11898547       8.81713269          
0.00972000          9992.00389123       8.93276383          
0.00978000          9991.88763576       9.04954036          
0.00984000          9991.77020964       9.16747188          
0.00990000          9991.65160336       9.28656800          
0.00996000          9991.53180731       9.40683849          
0.01002000          9991.41081177       9.52829312          
0.01008000          9991.28860696       9.65094181          
0.01014000          9991.16518296       9.77479458          
0.01020000          9991.04052979       9.89986149          
0.01026000          9990.91463734       10.02615274         
0.01032000          9990.78749542       10.15367861         
0.01038000          9990.65909374       10.28244944         
0.01044000          9990.52942189       10.41247573         
0.01050000          9990.39846938       10.54376803         
0.01056000          9990.26622560       10.67633698         
0.01062000          9990.13267985       10.81019334         
0.01068000          9989.99782132       10.94534799         
0.01074000          9989.86163910       11.08181183         
0.01080000          9989.72412216       11.21959596         
0.01086000          9989.58525937       11.35871153         
0.01092000          9989.44503949       11.49916978         
0.01098000          9989.30345119       11.64098205         
0.01104000          9989.16048300       11.78415983         
0.01110000          9989.01612337       11.92871469         
0.01116000          9988.87036060       12.07465828         
