Time      Mean      STD       
0.00001039          9998.99468732       0.69877521          
0.00002079          9998.99462263       0.69891462          
0.00004765          9998.99438599       0.69937391          
0.00007451          9998.99401443       0.69999976          
0.00016870          9998.99154317       0.70357862          
0.00035082          9998.98200861       0.71627652          
0.00053295          9998.96616482       0.73644768          
0.00115378          9998.86566154       0.85684126          
0.00177460          9998.69419797       1.04658973          
0.00239543          9998.44835351       1.29906088          
0.00301626          9998.12682714       1.61143223          
0.00363709          9997.72590773       1.98554439          
0.00425791          9997.24239612       2.42469585          
0.00487874          9996.66216945       2.94747616          
0.00549957          9996.00332933       3.52431141          
0.00646097          9994.78179353       4.58719409          
0.00742237          9993.29883712       5.86680686          
0.00838377          9991.52901543       7.38954327          
0.00934517          9989.40394597       9.21921652          
0.01030657          9986.86108240       11.44568559         
0.01220918          9980.59778341       16.80086985         
0.01411179          9972.16581236       23.98834518         
0.01601440          9960.88064330       33.56938264         
0.01791700          9945.81297851       46.32131657         
0.01981961          9925.75893931       63.27695626         
0.02172222          9898.96589636       85.69433871         
0.02509916          9828.42419076       144.25829672        
0.02847609          9713.25299723       238.29105926        
0.03099949          9583.11283392       342.24985171        
0.03352289          9397.68091993       486.79135002        
0.03604628          9139.02934829       679.78013705        
0.03856968          8781.74464101       931.21670066        
0.04109308          8301.68301766       1242.11178299       
0.04299473          7845.74418036       1508.24133772       
0.04489638          7303.35529438       1789.80736829       
0.04679802          6673.87305485       2069.43559623       
0.04869967          5971.27776601       2320.61751077       
0.05060132          5218.12562356       2514.88455870       
0.05250297          4448.71127474       2624.31064232       
0.05440462          3710.00824322       2630.91187680       
0.05584693          3200.99630950       2563.56548890       
0.05728924          2761.58946700       2440.27799476       
0.05873154          2411.87263681       2276.33637445       
0.06017385          2167.64171932       2097.13216836       
0.06161615          2039.60016565       1935.40799690       
0.06305846          2032.20698462       1826.24491408       
0.06450077          2141.84275593       1796.52112156       
0.06594307          2360.46643882       1848.69049938       
0.06701147          2585.52270651       1927.27635938       
0.06807986          2856.57201467       2025.75486617       
0.06914826          3166.24216179       2130.29165243       
0.07021665          3506.73573490       2230.51468868       
0.07128505          3870.37183617       2318.05261927       
0.07235344          4249.71339789       2387.53543502       
0.07342184          4637.61041973       2435.70640892       
0.07449023          5027.56199580       2461.70037032       
0.07555863          5413.61694365       2466.01292577       
0.07662702          5790.81488298       2449.95264415       
0.07769542          6155.20132313       2415.04322263       
0.07876381          6503.69837278       2363.54273301       
0.07983220          6834.08329785       2297.45451297       
0.08090060          7144.60695707       2219.66243643       
0.08196899          7434.16060314       2132.49718302       
0.08303739          7702.35728381       2038.18141604       
0.08410578          7949.05275415       1938.37425374       
0.08517418          8174.90714063       1834.84170246       
0.08624257          8380.48496974       1729.26256270       
0.08731097          8566.90835906       1623.07764445       
0.08837936          8735.31096542       1517.33847430       
0.08944776          8886.68396799       1413.00331719       
0.09051615          9022.14110213       1311.07781730       
0.09158455          9143.02970623       1212.41293857       
0.09265294          9250.43753142       1117.85654933       
0.09372134          9345.60834355       1027.97066154       
0.09478973          9429.77817765       943.08356840        
0.09585813          9503.89687295       863.80267430        
0.09692652          9569.00210702       790.49643669        
0.09799492          9626.07163386       723.21351979        
0.09906331          9675.98497085       661.86093874        
0.10013170          9719.53851704       606.35444028        
0.10120010          9757.44615960       556.61288072        
0.10226849          9790.34801027       512.38224672        
0.10333689          9818.89959709       473.23369511        
0.10440528          9843.61753886       438.54617840        
0.10547368          9864.98512956       407.86401129        
0.10654207          9883.39973028       380.85045882        
0.10761047          9899.25025796       357.01452308        
0.10867886          9912.86911037       335.80644441        
0.10974726          9924.53621413       316.74080755        
0.11081565          9934.49911766       299.48737400        
0.11188405          9942.94961747       283.71080620        
0.11295244          9950.08580262       269.22275037        
0.11402084          9956.03438928       255.94713649        
0.11508923          9960.92898402       243.74562355        
0.11615763          9964.89608501       232.67365264        
0.11722602          9967.96472085       222.90568821        
0.11829441          9970.24473854       214.51648329        
0.11936281          9971.73953035       207.68566768        
0.12043120          9972.51981313       202.36922683        
0.12149960          9972.54322757       198.71359235        
0.12256799          9971.86412167       196.53022438        
0.12363639          9970.40972494       195.85009779        
0.12470478          9968.16045225       196.60760352        
0.12577318          9965.08308665       198.82194331        
0.12684157          9961.05353693       202.94885435        
0.12790997          9956.03463982       209.12692169        
0.12897836          9949.85936053       218.42766946        
0.13004676          9942.42199758       231.19901747        
0.13111515          9933.50978543       248.71703205        
0.13218355          9923.04642618       271.07140805        
0.13325194          9910.63990725       299.51640894        
0.13432034          9896.25003760       333.69124507        
0.13538873          9879.40854218       374.46988190        
0.13645713          9859.97000802       421.27136072        
0.13752552          9837.50038440       474.92111278        
0.13859391          9811.73559502       534.85585639        
0.13966231          9782.24904582       601.59123927        
0.14073070          9748.55974715       675.00969572        
0.14179910          9710.39646763       755.31316084        
0.14286749          9667.23463736       842.20749752        
0.14393589          9618.68328723       935.90209125        
0.14500428          9564.24722135       1036.02947144       
0.14607268          9503.53007476       1142.23827172       
0.14714107          9436.23242526       1253.80121445       
0.14820947          9361.75144492       1370.66481331       
0.14927786          9280.13289771       1491.26250962       
0.15034626          9190.79419267       1615.03064814       
0.15141465          9093.72842970       1740.99587851       
0.15248305          8988.69219964       1868.10194747       
0.15355144          8875.88313261       1995.27057552       
0.15461984          8755.01967339       2121.68233813       
0.15568823          8626.60951092       2246.37535448       
0.15675663          8490.63866790       2368.45263114       
0.15782502          8347.78492323       2487.24119658       
0.15889341          8198.19507699       2602.01782759       
0.15996181          8042.78934563       2712.20191323       
0.16103020          7881.95289027       2817.23873082       
0.16209860          7716.90280616       2916.18138272       
0.16316699          7548.32628759       3008.68168215       
0.16423539          7377.52223930       3093.86233505       
0.16530378          7205.58728738       3171.16372254       
0.16637218          7033.78868689       3239.83768293       
0.16744057          6863.48213857       3299.28130329       
0.16850897          6696.16699356       3349.08088091       
0.16957736          6533.12964509       3389.04678415       
0.17064576          6375.81138717       3419.19486528       
0.17171415          6225.34327772       3439.80143663       
0.17278255          6083.09024094       3451.84804463       
0.17385094          5950.04323520       3455.99166818       
0.17491934          5827.15245643       3453.45622536       
0.17598773          5715.26580858       3445.42399311       
0.17705612          5615.15888589       3433.28306212       
0.17812452          5527.47522753       3418.25331226       
