Time      Mean      STD       
0.000     9998.981  0.737     
0.000     9998.981  0.737     
0.000     9998.981  0.736     
0.000     9998.982  0.736     
0.000     9998.982  0.735     
0.000     9998.979  0.738     
0.000     9998.970  0.746     
0.001     9998.924  0.799     
0.001     9998.841  0.893     
0.002     9998.719  1.023     
0.002     9998.560  1.187     
0.003     9998.361  1.384     
0.003     9998.119  1.615     
0.004     9997.637  2.062     
0.005     9997.032  2.610     
0.005     9996.285  3.276     
0.006     9995.390  4.066     
0.007     9994.300  5.022     
0.008     9991.600  7.376     
0.010     9987.925  10.567    
0.011     9982.953  14.879    
0.012     9976.257  20.678    
0.014     9967.223  28.498    
0.015     9955.079  38.924    
0.017     9938.932  52.773    
0.018     9917.049  71.287    
0.019     9888.588  95.693    
0.021     9850.001  128.097   
0.022     9799.268  170.846   
0.024     9732.270  226.639   
0.025     9644.147  299.009   
0.026     9528.100  393.367   
0.027     9420.494  478.732   
0.028     9290.544  579.752   
0.029     9134.136  698.401   
0.031     8946.421  835.832   
0.032     8724.832  992.467   
0.033     8462.767  1167.343  
0.034     8159.170  1359.318  
0.035     7809.984  1562.862  
0.036     7414.374  1771.517  
0.037     6975.585  1977.780  
0.038     6494.685  2168.940  
0.039     5982.210  2334.068  
0.040     5593.294  2430.847  
0.040     5197.114  2502.500  
0.041     4801.795  2546.142  
0.042     4413.646  2558.430  
0.043     4040.121  2539.790  
0.043     3689.107  2489.884  
0.044     3369.686  2410.923  
0.045     3087.541  2307.950  
0.046     2849.257  2188.224  
0.046     2660.024  2060.055  
0.047     2523.956  1935.263  
0.048     2446.127  1824.273  
0.049     2425.749  1741.532  
0.049     2462.288  1697.086  
0.050     2554.402  1696.631  
0.051     2698.398  1737.314  
0.052     2889.292  1812.569  
0.052     3122.971  1908.321  
0.053     3393.332  2013.243  
0.054     3693.592  2117.584  
0.055     4017.333  2213.005  
0.055     4357.610  2294.552  
0.056     4708.274  2359.077  
0.057     5064.552  2403.587  
0.058     5421.189  2427.455  
0.058     5773.239  2430.530  
0.059     6117.087  2412.854  
0.060     6449.529  2376.065  
0.061     6768.240  2321.153  
0.061     7071.305  2249.270  
0.062     7357.383  2162.454  
0.063     7782.374  1995.270  
0.065     8158.424  1804.607  
0.066     8485.179  1600.582  
0.067     8764.997  1394.391  
0.068     9001.522  1194.103  
0.070     9198.603  1006.605  
0.071     9360.976  837.116   
0.072     9493.511  687.443   
0.073     9600.474  558.678   
0.074     9686.171  449.942   
0.076     9754.384  359.627   
0.077     9808.408  285.748   
0.078     9850.959  226.030   
0.079     9884.391  177.923   
0.081     9910.519  139.591   
0.082     9930.857  109.387   
