Time      Mean      STD       
0.000     9998.988  0.711     
0.000     9998.988  0.711     
0.000     9998.988  0.711     
0.000     9998.988  0.712     
0.000     9998.986  0.714     
0.000     9998.981  0.723     
0.000     9998.970  0.737     
0.001     9998.915  0.806     
0.001     9998.823  0.916     
0.002     9998.691  1.063     
0.002     9998.521  1.243     
0.003     9998.309  1.457     
0.003     9998.053  1.707     
0.004     9997.557  2.175     
0.005     9996.938  2.744     
0.005     9996.179  3.431     
0.006     9995.273  4.239     
0.007     9994.182  5.207     
0.008     9991.509  7.565     
0.009     9987.908  10.726    
0.011     9983.077  14.973    
0.012     9976.633  20.622    
0.013     9968.030  28.121    
0.015     9956.671  38.006    
0.017     9930.141  60.839    
0.019     9888.695  96.135    
0.021     9824.234  150.612   
0.023     9724.850  233.124   
0.025     9619.557  319.011   
0.027     9476.567  433.279   
0.028     9284.259  580.976   
0.030     9027.879  769.371   
0.031     8692.279  999.778   
0.033     8260.957  1272.627  
0.035     7724.282  1574.775  
0.036     7076.782  1887.357  
0.037     6522.079  2108.792  
0.039     5921.307  2300.747  
0.040     5291.095  2444.472  
0.041     4655.094  2524.115  
0.042     4042.846  2528.954  
0.043     3487.438  2456.837  
0.044     3129.934  2359.619  
0.045     2833.351  2234.621  
0.046     2607.343  2096.289  
0.047     2459.306  1962.681  
0.048     2393.565  1853.558  
0.049     2410.739  1786.964  
0.050     2508.930  1772.945  
0.051     2683.205  1810.036  
0.051     2925.550  1886.283  
0.052     3225.885  1985.175  
0.053     3574.039  2089.407  
0.054     3958.538  2185.738  
0.055     4367.979  2264.677  
0.056     4791.355  2320.804  
0.057     5218.857  2351.304  
0.058     5642.015  2355.387  
0.059     6053.608  2334.193  
0.059     6447.985  2289.976  
0.060     6821.061  2225.739  
0.061     7169.869  2145.172  
0.062     7492.436  2051.700  
0.063     7787.961  1948.906  
0.064     8056.523  1840.104  
0.065     8298.792  1728.528  
0.066     8515.609  1616.736  
0.067     8708.549  1507.214  
0.067     8879.187  1401.598  
0.068     9029.433  1301.437  
0.069     9160.990  1207.602  
0.070     9275.963  1120.756  
0.071     9376.005  1041.177  
0.072     9462.817  968.486   
0.073     9537.951  902.267   
0.074     9602.912  841.580   
0.075     9659.005  785.394   
0.075     9707.352  732.717   
0.076     9749.056  682.666   
0.077     9785.012  634.722   
0.078     9815.999  588.467   
0.079     9842.684  543.967   
0.080     9865.666  501.220   
0.081     9885.434  460.321   
0.082     9902.436  421.456   
0.083     9917.012  384.619   
0.083     9929.500  349.675   
0.084     9940.181  316.533   
0.085     9949.268  285.222   
0.086     9956.984  255.636   
0.087     9963.481  227.821   
0.088     9968.911  201.838   
0.089     9973.393  177.758   
0.090     9977.035  155.654   
0.091     9979.916  135.634   
0.091     9982.098  117.833   
0.092     9983.634  102.362   
0.093     9984.556  89.449    
0.094     9984.886  79.390    
0.095     9984.607  72.660    
0.096     9983.743  69.737    
0.097     9982.221  70.993    
0.098     9980.010  76.704    
0.099     9977.032  86.474    
0.099     9973.217  99.840    
0.100     9968.420  117.101   
0.101     9962.500  137.997   
0.102     9955.320  162.825   
0.103     9946.643  191.629   
0.104     9936.250  224.976   
0.105     9923.914  263.135   
0.106     9909.225  306.353   
0.107     9891.925  355.247   
0.107     9871.605  409.663   
0.108     9847.799  470.039   
0.109     9820.002  536.703   
0.110     9787.893  609.312   
0.111     9750.582  688.686   
0.112     9707.783  774.303   
0.113     9658.672  866.667   
0.114     9602.720  965.680   
