Time      Mean      STD       
0.000     10000.000 3.162     
0.001     9999.928  3.185     
0.002     9999.711  3.264     
0.003     9999.339  3.428     
0.004     9998.796  3.721     
0.005     9998.060  4.199     
0.006     9997.097  4.921     
0.007     9995.868  5.942     
0.008     9994.319  7.319     
0.009     9992.385  9.114     
0.010     9989.984  11.405    
0.011     9987.012  14.286    
0.012     9983.345  17.877    
0.013     9978.825  22.327    
0.014     9973.263  27.820    
0.015     9966.423  34.584    
0.016     9958.020  42.894    
0.017     9947.702  53.089    
0.018     9935.040  65.576    
0.019     9919.515  80.849    
0.020     9900.492  99.498    
0.021     9877.206  122.227   
0.022     9848.732  149.868   
0.023     9813.959  183.397   
0.024     9771.560  223.941   
0.025     9719.962  272.784   
0.026     9657.312  331.359   
0.027     9581.455  401.224   
0.028     9489.914  484.013   
0.029     9379.889  581.354   
0.030     9248.282  694.746   
0.031     9091.754  825.383   
0.032     8906.841  973.936   
0.033     8690.119  1140.280  
0.034     8438.457  1323.205  
0.035     8149.338  1520.120  
0.036     7821.253  1726.828  
0.037     7454.151  1937.408  
0.038     7049.890  2144.287  
0.039     6612.642  2338.545  
0.040     6149.171  2510.492  
0.041     5668.916  2650.485  
0.042     5183.805  2749.959  
0.043     4707.789  2802.529  
0.044     4256.086  2805.076  
0.045     3844.214  2758.669  
0.046     3486.901  2669.209  
0.047     3197.016  2547.698  
0.048     2984.637  2409.965  
0.049     2856.377  2275.535  
0.050     2815.030  2165.091  
0.051     2859.558  2096.184  
0.052     2985.397  2078.123  
0.053     3185.012  2108.916  
0.054     3448.612  2176.785  
0.055     3764.948  2265.171  
0.056     4122.084  2357.755  
0.057     4508.103  2441.373  
0.058     4911.682  2506.880  
0.059     5322.533  2548.884  
0.060     5731.683  2565.041  
0.061     6131.632  2555.296  
0.062     6516.387  2521.194  
0.063     6881.414  2465.315  
0.064     7223.520  2390.823  
0.065     7540.695  2301.125  
0.066     7831.941  2199.628  
0.067     8097.083  2089.562  
0.068     8336.602  1973.873  
0.069     8551.471  1855.160  
0.070     8743.018  1735.646  
0.071     8912.800  1617.184  
0.072     9062.514  1501.268  
0.073     9193.908  1389.067  
0.074     9308.728  1281.457  
0.075     9408.671  1179.062  
0.076     9495.348  1082.290  
0.077     9570.272  991.370   
0.078     9634.836  906.385   
0.079     9690.316  827.302   
0.080     9737.861  754.000   
0.081     9778.506  686.288   
0.082     9813.167  623.928   
0.083     9842.659  566.647   
0.084     9867.694  514.155   
0.085     9888.896  466.148   
0.086     9906.806  422.322   
0.087     9921.893  382.376   
0.088     9934.560  346.020   
0.089     9945.150  312.975   
0.090     9953.956  282.980   
0.091     9961.224  255.795   
0.092     9967.157  231.203   
0.093     9971.923  209.021   
0.094     9975.656  189.106   
0.095     9978.458  171.373   
0.096     9980.405  155.816   
0.097     9981.543  142.544   
0.098     9981.892  131.824   
0.099     9981.449  124.120   
0.100     9980.179  120.097   
0.101     9978.023  120.545   
0.102     9974.890  126.209   
0.103     9970.657  137.617   
0.104     9965.166  155.044   
0.105     9958.221  178.615   
0.106     9949.584  208.444   
0.107     9938.974  244.725   
0.108     9926.061  287.745   
0.109     9910.466  337.862   
0.110     9891.761  395.467   
0.111     9869.471  460.942   
0.112     9843.074  534.616   
0.113     9812.011  616.733   
0.114     9775.693  707.414   
0.115     9733.516  806.630   
0.116     9684.877  914.177   
0.117     9629.192  1029.664  
0.118     9565.923  1152.498  
0.119     9494.601  1281.888  
0.120     9414.852  1416.849  
0.121     9326.428  1556.223  
0.122     9229.228  1698.706  
0.123     9123.324  1842.882  
0.124     9008.983  1987.273  
0.125     8886.677  2130.387  
0.126     8757.100  2270.777  
0.127     8621.166  2407.097  
0.128     8480.013  2538.131  
0.129     8334.995  2662.803  
0.130     8187.671  2780.137  
0.131     8039.785  2889.171  
0.132     7893.228  2988.834  
0.133     7749.985  3077.824  
0.134     7612.058  3154.531  
0.135     7481.345  3217.059  
0.136     7359.510  3263.374  
0.137     7247.819  3291.582  
0.138     7146.983  3300.307  
0.139     7057.036  3289.105  
0.140     6977.257  3258.855  
0.141     6906.184  3212.043  
0.142     6841.715  3152.865  
0.143     6781.300  3087.101  
0.144     6722.203  3021.685  
0.145     6661.814  2963.966  
0.146     6597.948  2920.704  
0.147     6529.117  2896.982  
0.148     6454.722  2895.331  
0.149     6375.159  2915.359  
0.150     6291.810  2954.041  
0.151     6206.944  3006.529  
0.152     6123.541  3067.189  
0.153     6045.047  3130.533  
0.154     5975.113  3191.877  
0.155     5917.331  3247.668  
0.156     5874.988  3295.541  
0.157     5850.873  3334.188  
0.158     5847.124  3363.135  
0.159     5865.146  3382.473  
0.160     5905.574  3392.610  
0.161     5968.294  3394.070  
0.162     6052.501  3387.343  
0.163     6156.789  3372.803  
0.164     6279.263  3350.683  
0.165     6417.657  3321.090  
0.166     6569.456  3284.043  
0.167     6732.014  3239.537  
0.168     6902.651  3187.588  
0.169     7078.749  3128.289  
0.170     7257.820  3061.833  
0.171     7437.565  2988.537  
0.172     7615.911  2908.843  
0.173     7791.039  2823.309  
0.174     7961.392  2732.594  
0.175     8125.675  2637.437  
0.176     8282.851  2538.632  
0.177     8432.121  2437.004  
0.178     8572.906  2333.389  
0.179     8704.826  2228.615  
0.180     8827.670  2123.490  
0.181     8941.373  2018.790  
0.182     9045.992  1915.259  
0.183     9141.683  1813.606  
0.184     9228.675  1714.514  
0.185     9307.253  1618.649  
0.186     9377.739  1526.677  
0.187     9440.478  1439.282  
0.188     9495.821  1357.182  
0.189     9544.120  1281.158  
0.190     9585.715  1212.061  
0.191     9620.927  1150.817  
0.192     9650.056  1098.416  
0.193     9673.378  1055.865  
0.194     9691.138  1024.113  
0.195     9703.559  1003.943  
0.196     9710.833  995.863   
0.197     9713.132  1000.007  
0.198     9710.605  1016.101  
0.199     9703.382  1043.488  
0.200     9691.580  1081.207  
0.201     9675.308  1128.104  
0.202     9654.669  1182.934  
0.203     9629.765  1244.453  
0.204     9600.702  1311.479  
0.205     9567.593  1382.932  
0.206     9530.564  1457.849  
0.207     9489.756  1535.372  
0.208     9445.326  1614.727  
0.209     9397.456  1695.200  
0.210     9346.350  1776.120  
0.211     9292.237  1856.856  
0.212     9235.370  1936.821  
0.213     9176.025  2015.495  
0.214     9114.498  2092.430  
0.215     9051.103  2167.258  
0.216     8986.173  2239.680  
0.217     8920.053  2309.455  
0.218     8853.102  2376.393  
0.219     8785.695  2440.347  
0.220     8718.213  2501.222  
0.221     8651.052  2558.970  
0.222     8584.618  2613.569  
0.223     8519.327  2664.969  
0.224     8455.604  2713.020  
0.225     8393.877  2757.392  
0.226     8334.558  2797.548  
0.227     8278.023  2832.791  
0.228     8224.576  2862.418  
0.229     8174.413  2885.947  
0.230     8127.595  2903.382  
0.231     8084.036  2915.429  
0.232     8043.519  2923.589  
0.233     8005.747  2930.058  
0.234     7970.419  2937.426  
0.235     7937.327  2948.190  
0.236     7906.449  2964.200  
0.237     7878.024  2986.156  
0.238     7852.581  3013.319  
