Time      Mean      STD       
0.000     9998.961  0.725     
0.000     9998.961  0.725     
0.000     9998.961  0.726     
0.000     9998.961  0.727     
0.000     9998.959  0.731     
0.000     9998.952  0.743     
0.000     9998.940  0.761     
0.001     9998.882  0.840     
0.001     9998.785  0.956     
0.002     9998.647  1.110     
0.002     9998.470  1.294     
0.003     9998.251  1.511     
0.003     9997.985  1.765     
0.004     9997.498  2.213     
0.004     9996.896  2.753     
0.005     9996.164  3.401     
0.006     9995.295  4.159     
0.007     9994.265  5.052     
0.008     9991.547  7.397     
0.009     9987.874  10.537    
0.011     9982.918  14.789    
0.012     9976.274  20.481    
0.013     9967.377  28.034    
0.015     9955.580  38.065    
0.016     9939.468  51.570    
0.018     9918.508  69.206    
0.019     9890.651  92.457    
0.020     9853.502  123.203   
0.022     9805.022  163.312   
0.023     9741.086  215.533   
0.024     9656.716  283.467   
0.026     9546.825  370.556   
0.027     9404.206  480.933   
0.029     9220.148  619.530   
0.030     9053.649  740.636   
0.031     8854.758  879.775   
0.032     8621.082  1036.754  
0.033     8347.723  1210.416  
0.034     8031.375  1399.225  
0.035     7671.213  1597.776  
0.036     7265.802  1800.586  
0.037     6817.657  2000.018  
0.038     6331.363  2184.907  
0.039     5816.202  2344.791  
0.040     5282.907  2467.936  
0.040     4885.237  2529.468  
0.041     4492.789  2562.079  
0.042     4113.995  2563.085  
0.043     3756.232  2532.291  
0.043     3426.400  2469.953  
0.044     3134.726  2379.381  
0.045     2886.103  2265.638  
0.046     2685.560  2139.085  
0.046     2537.819  2008.979  
0.047     2446.092  1889.585  
0.048     2412.618  1793.863  
0.049     2436.782  1735.250  
0.049     2516.315  1720.518  
0.050     2648.694  1749.965  
0.051     2830.081  1814.871  
0.052     3054.018  1904.829  
0.052     3314.699  2006.497  
0.053     3607.872  2106.694  
0.054     3927.150  2196.235  
0.055     4264.310  2271.721  
0.055     4612.688  2329.100  
0.056     4967.884  2365.870  
0.057     5323.672  2382.391  
0.058     5675.955  2378.955  
0.058     6020.339  2356.697  
0.059     6352.484  2319.063  
0.060     6670.780  2267.655  
0.061     7159.668  2159.113  
0.062     7598.480  2029.362  
0.064     7986.534  1887.320  
0.065     8324.033  1740.100  
0.066     8613.712  1592.548  
0.067     8860.683  1446.375  
0.068     9068.785  1303.799  
0.070     9243.000  1164.352  
0.071     9388.058  1028.366  
0.072     9507.907  896.910   
0.073     9606.498  771.399   
0.075     9686.898  654.104   
0.076     9752.223  546.790   
0.077     9804.851  451.413   
0.078     9846.944  368.297   
0.080     9880.424  297.661   
0.081     9906.926  238.482   
0.082     9927.782  189.830   
0.083     9944.062  150.352   
0.085     9956.725  118.326   
0.086     9966.471  92.729    
0.087     9973.871  72.600    
0.088     9979.403  56.758    
0.089     9983.376  44.631    
0.091     9986.042  35.963    
0.092     9987.593  30.635    
0.093     9988.128  29.324    
0.094     9987.623  32.514    
0.096     9986.117  39.614    
0.097     9983.463  50.461    
0.098     9979.546  65.040    
0.099     9974.090  83.793    
0.101     9966.801  107.786   
0.102     9957.243  137.717   
0.103     9944.915  175.135   
0.104     9929.022  221.456   
0.105     9908.892  278.098   
0.107     9883.425  346.751   
0.108     9851.432  428.833   
0.109     9811.817  524.555   
0.110     9762.970  634.521   
0.112     9703.215  758.583   
0.113     9631.047  896.364   
0.114     9544.447  1046.407  
0.115     9442.050  1207.585  
0.117     9321.889  1378.366  
0.118     9182.441  1557.229  
0.119     9022.479  1741.993  
0.120     8841.364  1931.472  
0.121     8638.735  2123.874  
0.123     8415.119  2318.451  
0.124     8172.864  2512.012  
0.125     7914.515  2702.946  
0.126     7716.709  2838.489  
0.127     7514.971  2966.194  
0.128     7312.326  3082.361  
0.129     7111.798  3184.108  
0.130     6915.811  3267.329  
0.131     6727.885  3329.953  
0.132     6550.831  3370.230  
0.132     6386.707  3388.768  
0.133     6236.954  3387.078  
0.134     6103.084  3368.397  
0.135     5985.202  3338.026  
0.136     5883.193  3300.444  
0.137     5796.903  3261.265  
0.138     5726.478  3223.951  
0.139     5671.393  3190.717  
0.140     5630.758  3163.129  
0.141     5604.130  3141.072  
0.141     5591.561  3122.803  
0.142     5591.854  3106.906  
0.143     5605.650  3092.457  
0.144     5630.894  3079.904  
0.145     5667.215  3071.121  
0.146     5713.957  3067.432  
0.147     5770.136  3071.667  
0.148     5834.826  3084.891  
0.149     5908.429  3106.889  
0.150     5990.071  3135.614  
0.151     6080.301  3168.045  
0.151     6178.852  3200.209  
0.152     6286.216  3226.865  
0.153     6402.531  3243.223  
0.154     6527.370  3245.175  
0.155     6660.614  3229.758  
0.156     6800.668  3196.215  
0.157     6945.650  3145.513  
0.158     7094.314  3079.632  
0.159     7243.734  3002.724  
0.160     7391.934  2920.247  
0.161     7536.697  2838.910  
0.161     7676.017  2764.991  
0.162     7808.631  2703.805  
0.163     7933.965  2657.744  
0.164     8051.850  2626.555  
0.165     8162.566  2607.059  
0.166     8267.249  2593.452  
0.167     8366.685  2579.416  
0.168     8462.350  2558.185  
0.169     8555.177  2525.186  
0.170     8645.456  2477.696  
0.171     8734.221  2413.091  
0.171     8820.911  2333.078  
0.172     8905.309  2240.128  
0.173     8986.955  2136.986  
0.174     9065.001  2028.032  
0.175     9138.739  1917.853  
0.176     9207.448  1810.527  
0.177     9270.759  1710.396  
0.178     9328.180  1621.261  
0.179     9379.406  1545.952  
0.180     9424.715  1485.539  
0.180     9464.206  1440.722  
0.181     9498.270  1410.448  
0.182     9527.504  1391.978  
0.183     9552.315  1382.498  
0.184     9573.417  1378.936  
0.185     9591.364  1377.211  
0.186     9606.609  1374.321  
0.187     9619.773  1366.673  
0.188     9630.850  1353.335  
0.189     9640.299  1332.595  
0.190     9647.674  1305.735  
0.190     9653.237  1273.699  
0.191     9656.410  1239.228  
0.192     9657.111  1205.779  
0.193     9654.492  1178.185  
0.194     9648.348  1160.658  
0.195     9638.125  1156.642  
0.196     9623.444  1168.760  
0.197     9604.060  1197.506  
0.198     9579.824  1241.307  
0.199     9550.573  1298.072  
0.200     9516.224  1364.083  
0.200     9476.818  1436.136  
0.201     9432.456  1510.984  
0.202     9382.878  1586.350  
0.203     9328.067  1661.110  
0.204     9268.143  1734.676  
0.205     9202.759  1808.794  
0.206     9131.697  1884.529  
0.207     9054.838  1964.093  
0.208     8971.844  2049.227  
0.209     8883.105  2140.898  
0.209     8788.691  2239.595  
0.210     8688.627  2344.805  
0.211     8584.346  2454.440  
0.212     8476.057  2566.042  
0.213     8365.715  2676.210  
0.214     8254.688  2781.388  
0.215     8144.293  2879.211  
0.216     8036.192  2967.162  
0.217     7931.989  3043.279  
0.218     7833.625  3107.000  
0.219     7741.057  3157.645  
0.219     7656.275  3195.878  
0.220     7579.390  3221.405  
0.221     7511.459  3234.617  
0.222     7451.716  3235.955  
0.223     7400.205  3226.817  
0.224     7356.413  3207.691  
0.225     7319.414  3181.600  
0.226     7287.607  3151.824  
0.227     7260.391  3121.547  
0.228     7236.180  3095.120  
0.229     7213.986  3076.164  
0.229     7193.181  3067.276  
0.230     7173.081  3069.066  
0.231     7154.374  3081.212  
0.232     7136.615  3100.869  
0.233     7120.934  3125.447  
0.234     7108.155  3150.130  
0.235     7099.097  3171.885  
0.236     7094.072  3188.163  
0.237     7094.340  3196.326  
0.238     7099.820  3194.925  
0.239     7111.020  3184.502  
0.239     7126.710  3166.689  
0.240     7146.637  3143.067  
0.241     7170.272  3116.085  
0.242     7196.814  3088.426  
0.243     7224.438  3063.375  
0.244     7253.159  3042.682  
0.245     7281.942  3027.655  
0.246     7310.368  3019.671  
0.247     7338.484  3017.546  
0.248     7366.321  3020.751  
0.248     7393.894  3027.737  
0.249     7422.039  3036.684  
0.250     7450.770  3045.890  
0.251     7480.597  3054.654  
0.252     7512.076  3062.832  
0.253     7545.744  3070.038  
0.254     7582.021  3076.952  
