Time      Mean      STD       
0.000     10000.000 2.000     
0.001     9999.928  2.037     
0.002     9999.708  2.161     
0.003     9999.321  2.412     
0.004     9998.738  2.849     
0.005     9997.910  3.541     
0.006     9996.774  4.564     
0.007     9995.238  6.008     
0.008     9993.182  7.989     
0.009     9990.445  10.657    
0.010     9986.816  14.212    
0.011     9982.016  18.913    
0.012     9975.685  25.091    
0.013     9967.354  33.164    
0.014     9956.426  43.645    
0.015     9942.147  57.146    
0.016     9923.580  74.373    
0.017     9899.587  96.085    
0.018     9868.825  123.032   
0.019     9829.782  155.826   
0.020     9780.848  194.771   
0.021     9720.477  239.625   
0.022     9647.414  289.350   
0.023     9561.028  341.899   
0.024     9461.690  394.148   
0.025     9351.141  442.049   
0.026     9232.751  481.091   
0.027     9111.537  507.046   
0.028     8993.870  516.881   
0.029     8886.856  509.690   
0.030     8797.477  487.400   
0.031     8731.671  455.119   
0.032     8693.544  420.841   
0.033     8684.896  394.010   
0.034     8705.122  382.287   
0.035     8751.488  387.654   
0.036     8819.664  405.599   
0.037     8904.388  428.544   
0.038     9000.118  449.673   
0.039     9101.581  464.529   
0.040     9204.158  470.972   
0.041     9304.104  468.577   
0.042     9398.622  458.027   
0.043     9485.820  440.617   
0.044     9564.605  417.899   
0.045     9634.532  391.445   
0.046     9695.655  362.701   
0.047     9748.376  332.906   
0.048     9793.328  303.068   
0.049     9831.267  273.958   
0.050     9863.001  246.137   
0.051     9889.334  219.984   
0.052     9911.029  195.724   
0.053     9928.786  173.467   
0.054     9943.231  153.233   
0.055     9954.911  134.976   
0.056     9964.298  118.609   
0.057     9971.788  104.016   
0.058     9977.713  91.072    
0.059     9982.345  79.650    
0.060     9985.900  69.642    
0.061     9988.546  60.976    
0.062     9990.410  53.647    
0.063     9991.578  47.760    
0.064     9992.097  43.593    
0.065     9991.982  41.615    
0.066     9991.212  42.393    
0.067     9989.731  46.362    
0.068     9987.448  53.656    
0.069     9984.237  64.197    
0.070     9979.937  77.871    
0.071     9974.356  94.605    
0.072     9967.272  114.357   
0.073     9958.446  137.076   
0.074     9947.629  162.663   
0.075     9934.578  190.949   
0.076     9919.076  221.686   
0.077     9900.953  254.545   
0.078     9880.112  289.121   
0.079     9856.556  324.938   
0.080     9830.414  361.441   
0.081     9801.967  397.950   
0.082     9771.662  433.569   
0.083     9740.104  467.094   
0.084     9708.013  496.979   
0.085     9676.125  521.467   
0.086     9645.055  538.887   
0.087     9615.128  548.098   
0.088     9586.241  548.948   
0.089     9557.808  542.632   
0.090     9528.824  531.793   
0.091     9498.062  520.227   
0.092     9464.368  512.069   
0.093     9426.971  510.566   
0.094     9385.743  516.935   
0.095     9341.346  530.013   
0.096     9295.221  546.965   
0.097     9249.439  564.508   
0.098     9206.448  579.940   
0.099     9168.770  591.661   
0.100     9138.710  599.216   
0.101     9118.114  603.042   
0.102     9108.214  604.075   
0.103     9109.562  603.354   
0.104     9122.039  601.696   
0.105     9144.942  599.509   
0.106     9177.100  596.771   
0.107     9217.022  593.115   
0.108     9263.034  587.996   
0.109     9313.410  580.849   
0.110     9366.482  571.218   
0.111     9420.712  558.823   
0.112     9474.752  543.588   
0.113     9527.472  525.626   
0.114     9577.964  505.207   
0.115     9625.543  482.718   
0.116     9669.720  458.619   
0.117     9710.187  433.415   
0.118     9746.781  407.628   
0.119     9779.457  381.783   
0.120     9808.265  356.397   
0.121     9833.320  331.977   
0.122     9854.780  309.049   
0.123     9872.832  288.189   
0.124     9887.677  270.000   
0.125     9899.520  255.018   
0.126     9908.564  243.588   
0.127     9915.000  235.877   
0.128     9918.995  232.061   
0.129     9920.693  232.484   
0.130     9920.225  237.520   
0.131     9917.728  247.152   
0.132     9913.363  260.652   
0.133     9907.320  276.665   
0.134     9899.804  293.683   
0.135     9891.005  310.538   
0.136     9881.077  326.697   
0.137     9870.120  342.274   
0.138     9858.201  357.807   
0.139     9845.375  373.888   
0.140     9831.730  390.780   
0.141     9817.411  408.182   
0.142     9802.619  425.259   
0.143     9787.582  440.953   
0.144     9772.502  454.448   
0.145     9757.508  465.582   
0.146     9742.637  475.035   
0.147     9727.874  484.159   
0.148     9713.229  494.462   
0.149     9698.842  506.903   
0.150     9685.055  521.348   
0.151     9672.422  536.447   
0.152     9661.636  549.986   
0.153     9653.378  559.494   
0.154     9648.124  562.849   
0.155     9645.977  558.723   
0.156     9646.543  546.853   
0.157     9648.916  528.178   
0.158     9651.755  504.875   
0.159     9653.458  480.276   
0.160     9652.377  458.565   
0.161     9647.050  444.071   
0.162     9636.404  440.119   
0.163     9619.891  447.845   
0.164     9597.558  465.825   
0.165     9570.027  490.822   
0.166     9538.423  519.039   
0.167     9504.244  547.104   
0.168     9469.204  572.523   
0.169     9435.078  593.773   
0.170     9403.557  610.181   
0.171     9376.126  621.705   
0.172     9353.985  628.703   
0.173     9337.988  631.773   
0.174     9328.624  631.681   
0.175     9326.031  629.295   
0.176     9330.044  625.382   
0.177     9340.254  620.329   
0.178     9356.066  614.009   
0.179     9376.721  606.011   
0.180     9401.313  596.175   
0.181     9428.835  585.036   
0.182     9458.266  573.760   
0.183     9488.704  563.473   
0.184     9519.464  554.378   
0.185     9550.096  545.325   
0.186     9580.292  534.250   
0.187     9609.726  519.276   
0.188     9637.924  499.860   
0.189     9664.225  477.476   
0.190     9687.881  455.505   
0.191     9708.249  438.231   
0.192     9724.989  429.068   
0.193     9738.193  428.838   
0.194     9748.382  435.311   
0.195     9756.372  444.394   
0.196     9763.065  451.919   
0.197     9769.228  454.896   
0.198     9775.331  451.959   
0.199     9781.476  443.295   
0.200     9787.415  430.371   
0.201     9792.650  415.621   
0.202     9796.567  402.125   
0.203     9798.594  393.105   
0.204     9798.333  391.147   
0.205     9795.666  397.301   
0.206     9790.799  410.580   
0.207     9784.241  428.280   
0.208     9776.710  446.908   
0.209     9768.984  463.175   
0.210     9761.735  474.698   
0.211     9755.390  480.367   
0.212     9750.044  480.460   
0.213     9745.477  476.558   
0.214     9741.236  471.221   
0.215     9736.797  467.414   
0.216     9731.729  467.697   
0.217     9725.848  473.426   
0.218     9719.296  484.344   
0.219     9712.546  498.743   
0.220     9706.327  514.036   
0.221     9701.484  527.418   
0.222     9698.812  536.409   
0.223     9698.878  539.228   
0.224     9701.896  534.997   
0.225     9707.655  523.752   
0.226     9715.533  506.282   
0.227     9724.567  483.898   
0.228     9733.552  458.323   
0.229     9741.158  431.812   
0.230     9746.041  407.431   
0.231     9746.972  389.130   
0.232     9742.968  381.103   
0.233     9733.426  386.173   
0.234     9718.221  404.114   
0.235     9697.738  431.452   
0.236     9672.804  462.968   
0.237     9644.532  493.588   
0.238     9614.105  519.708   
0.239     9582.574  539.841   
0.240     9550.747  554.703   
0.241     9519.220  566.716   
0.242     9488.544  578.915   
0.243     9459.449  593.492   
0.244     9433.006  610.619   
0.245     9410.639  628.201   
0.246     9393.917  642.660   
0.247     9384.199  650.214   
0.248     9382.221  648.061   
0.249     9387.793  635.185   
0.250     9399.716  612.773   
0.251     9415.963  584.319   
0.252     9434.088  555.320   
0.253     9451.753  532.304   
0.254     9467.216  520.920   
0.255     9479.679  523.597   
0.256     9489.386  538.366   
0.257     9497.481  559.950   
0.258     9505.668  582.107   
0.259     9515.776  599.512   
0.260     9529.340  608.577   
0.261     9547.282  607.496   
0.262     9569.761  595.949   
0.263     9596.182  574.700   
0.264     9625.334  545.267   
0.265     9655.607  509.733   
0.266     9685.222  470.742   
0.267     9712.450  431.623   
0.268     9735.799  396.493   
0.269     9754.156  370.041   
0.270     9766.879  356.576   
0.271     9773.853  358.302   
0.272     9775.489  374.021   
0.273     9772.670  399.593   
0.274     9766.652  429.672   
0.275     9758.907  459.182   
0.276     9750.921  484.028   
0.277     9743.983  501.389   
0.278     9738.993  509.876   
0.279     9736.346  509.616   
0.280     9735.920  502.159   
0.281     9737.178  490.121   
0.282     9739.341  476.579   
0.283     9741.587  464.357   
0.284     9743.204  455.447   
0.285     9743.682  450.802   
0.286     9742.741  450.572   
0.287     9740.327  454.569   
0.288     9736.593  462.592   
0.289     9731.905  474.379   
0.290     9726.850  489.220   
0.291     9722.230  505.533   
0.292     9718.999  520.755   
0.293     9718.118  531.709   
0.294     9720.350  535.265   
0.295     9726.038  529.068   
0.296     9734.940  512.090   
0.297     9746.175  484.949   
0.298     9758.322  450.019   
0.299     9769.624  411.405   
0.300     9778.266  374.816   
0.301     9782.633  347.128   
0.302     9781.530  334.940   
0.303     9774.318  341.866   
0.304     9760.983  366.513   
0.305     9742.140  403.546   
0.306     9718.967  446.453   
0.307     9693.079  489.332   
0.308     9666.322  527.415   
0.309     9640.508  557.123   
0.310     9617.119  576.084   
0.311     9597.037  583.235   
0.312     9580.373  578.953   
0.313     9566.435  565.178   
0.314     9553.866  545.460   
0.315     9540.932  524.793   
0.316     9525.900  509.011   
