Species              = 23Na           
B Field (muT)        = 0              
N_0                  = 9998           
C_init               = 24             
Total Atom Number    = 10000          
Magnetization        = 0              
Mag Range            = 2              
Atom Range           = 2              
Spinor Phase         = 0              
Initial State Solver = coherent_state 
Propogator           = Chebychev      

Delta t (s)    Emw(Hz)        q(Hz)          C(Hz)          num steps      
0.04           0              0.0            24             30             
0.001          0              0.0            24             6              
0.06           0              0.0            24             30             

t(s)           mean           stddev         norm           
0.000000e+00   9.998139e+03   1.951310e+00   1.845974e-02   
1.333333e-03   9.997746e+03   2.222862e+00   1.845974e-02   
2.666667e-03   9.996568e+03   3.003077e+00   1.845974e-02   
4.000000e-03   9.994606e+03   4.250748e+00   1.845974e-02   
5.333333e-03   9.991858e+03   5.955638e+00   1.845974e-02   
6.666667e-03   9.988326e+03   8.120309e+00   1.845974e-02   
8.000000e-03   9.984012e+03   1.074842e+01   1.845974e-02   
9.333333e-03   9.978914e+03   1.384221e+01   1.845974e-02   
1.066667e-02   9.973036e+03   1.740252e+01   1.845974e-02   
1.200000e-02   9.966378e+03   2.142924e+01   1.845974e-02   
1.333333e-02   9.958941e+03   2.592156e+01   1.845974e-02   
1.466667e-02   9.950727e+03   3.087818e+01   1.845974e-02   
1.600000e-02   9.941738e+03   3.629745e+01   1.845974e-02   
1.733333e-02   9.931976e+03   4.217740e+01   1.845974e-02   
1.866667e-02   9.921442e+03   4.851581e+01   1.845974e-02   
2.000000e-02   9.910140e+03   5.531021e+01   1.845974e-02   
2.133333e-02   9.898071e+03   6.255792e+01   1.845974e-02   
2.266667e-02   9.885238e+03   7.025607e+01   1.845974e-02   
2.400000e-02   9.871645e+03   7.840156e+01   1.845974e-02   
2.533333e-02   9.857293e+03   8.699112e+01   1.845974e-02   
2.666667e-02   9.842185e+03   9.602129e+01   1.845974e-02   
2.800000e-02   9.826326e+03   1.054884e+02   1.845974e-02   
2.933333e-02   9.809719e+03   1.153887e+02   1.845974e-02   
3.066667e-02   9.792366e+03   1.257180e+02   1.845974e-02   
3.200000e-02   9.774272e+03   1.364723e+02   1.845974e-02   
3.333333e-02   9.755441e+03   1.476472e+02   1.845974e-02   
3.466667e-02   9.735876e+03   1.592382e+02   1.845974e-02   
3.600000e-02   9.715582e+03   1.712405e+02   1.845974e-02   
3.733333e-02   9.694563e+03   1.836493e+02   1.845974e-02   
3.866667e-02   9.672824e+03   1.964596e+02   1.845974e-02   
4.000000e-02   9.650369e+03   2.096661e+02   1.845974e-02   
4.016667e-02   9.647513e+03   2.113445e+02   1.845974e-02   
4.033333e-02   9.644644e+03   2.130291e+02   1.845974e-02   
4.050000e-02   9.641765e+03   2.147197e+02   1.845974e-02   
4.066667e-02   9.638875e+03   2.164164e+02   1.845974e-02   
4.083333e-02   9.635974e+03   2.181191e+02   1.845974e-02   
4.100000e-02   9.633061e+03   2.198279e+02   1.845974e-02   
4.300000e-02   9.597254e+03   2.408019e+02   1.845974e-02   
4.500000e-02   9.559872e+03   2.626271e+02   1.845974e-02   
4.700000e-02   9.520935e+03   2.852838e+02   1.845974e-02   
4.900000e-02   9.480459e+03   3.087512e+02   1.845974e-02   
5.100000e-02   9.438465e+03   3.330082e+02   1.845974e-02   
5.300000e-02   9.394973e+03   3.580328e+02   1.845974e-02   
5.500000e-02   9.350003e+03   3.838021e+02   1.845974e-02   
5.700000e-02   9.303577e+03   4.102930e+02   1.845974e-02   
5.900000e-02   9.255717e+03   4.374814e+02   1.845974e-02   
6.100000e-02   9.206446e+03   4.653428e+02   1.845974e-02   
6.300000e-02   9.155787e+03   4.938520e+02   1.845974e-02   
6.500000e-02   9.103764e+03   5.229834e+02   1.845974e-02   
6.700000e-02   9.050402e+03   5.527107e+02   1.845974e-02   
6.900000e-02   8.995725e+03   5.830071e+02   1.845974e-02   
7.100000e-02   8.939760e+03   6.138455e+02   1.845974e-02   
7.300000e-02   8.882534e+03   6.451982e+02   1.845974e-02   
7.500000e-02   8.824072e+03   6.770371e+02   1.845974e-02   
7.700000e-02   8.764403e+03   7.093338e+02   1.845974e-02   
7.900000e-02   8.703555e+03   7.420593e+02   1.845974e-02   
8.100000e-02   8.641555e+03   7.751846e+02   1.845974e-02   
8.300000e-02   8.578434e+03   8.086802e+02   1.845974e-02   
8.500000e-02   8.514220e+03   8.425163e+02   1.845974e-02   
8.700000e-02   8.448943e+03   8.766629e+02   1.845974e-02   
8.900000e-02   8.382634e+03   9.110897e+02   1.845974e-02   
9.100000e-02   8.315324e+03   9.457665e+02   1.845974e-02   
9.300000e-02   8.247044e+03   9.806625e+02   1.845974e-02   
9.500000e-02   8.177824e+03   1.015747e+03   1.845974e-02   
9.700000e-02   8.107698e+03   1.050990e+03   1.845974e-02   
9.900000e-02   8.036698e+03   1.086359e+03   1.845974e-02   
1.010000e-01   7.964856e+03   1.121825e+03   1.845974e-02   
