Species              = Na             
B Field (muT)        = 0.0            
N_0                  = 9998           
C_init               = 24             
Total Atom Number    = 10000          
Magnetization        = 0              
Mag Range            = 4              
Atom Range           = 5              
Spinor Phase         = 0.0            
Initial State Solver = coherent_state 
Propogator           = Chebychev      

Delta t (s)    Emw(Hz)        q(Hz)          C(Hz)          num steps      
0.04           0              0.0            24             30             
0.001          0              0.0            24             6              
0.06           0              0.0            24             30             

t(s)           mean           stddev         norm           
0.000000e+00   9.998011e+03   3.457826e+00   4.372309e-02   
1.333333e-03   9.997608e+03   3.624530e+00   4.372309e-02   
2.666667e-03   9.996399e+03   4.168706e+00   4.372309e-02   
4.000000e-03   9.994384e+03   5.174420e+00   4.372309e-02   
5.333333e-03   9.991564e+03   6.694341e+00   4.372309e-02   
6.666667e-03   9.987940e+03   8.738943e+00   4.372309e-02   
8.000000e-03   9.983511e+03   1.129984e+01   4.372309e-02   
9.333333e-03   9.978280e+03   1.436574e+01   4.372309e-02   
1.066667e-02   9.972247e+03   1.792730e+01   4.372309e-02   
1.200000e-02   9.965414e+03   2.197746e+01   4.372309e-02   
1.333333e-02   9.957782e+03   2.651084e+01   4.372309e-02   
1.466667e-02   9.949352e+03   3.152307e+01   4.372309e-02   
1.600000e-02   9.940128e+03   3.701042e+01   4.372309e-02   
1.733333e-02   9.930109e+03   4.296946e+01   4.372309e-02   
1.866667e-02   9.919300e+03   4.939694e+01   4.372309e-02   
2.000000e-02   9.907702e+03   5.628962e+01   4.372309e-02   
2.133333e-02   9.895318e+03   6.364422e+01   4.372309e-02   
2.266667e-02   9.882150e+03   7.145740e+01   4.372309e-02   
2.400000e-02   9.868201e+03   7.972568e+01   4.372309e-02   
2.533333e-02   9.853475e+03   8.844546e+01   4.372309e-02   
2.666667e-02   9.837975e+03   9.761300e+01   4.372309e-02   
2.800000e-02   9.821703e+03   1.072244e+02   4.372309e-02   
2.933333e-02   9.804664e+03   1.172756e+02   4.372309e-02   
3.066667e-02   9.786861e+03   1.277623e+02   4.372309e-02   
3.200000e-02   9.768299e+03   1.386802e+02   4.372309e-02   
3.333333e-02   9.748981e+03   1.500247e+02   4.372309e-02   
3.466667e-02   9.728911e+03   1.617911e+02   4.372309e-02   
3.600000e-02   9.708093e+03   1.739744e+02   4.372309e-02   
3.733333e-02   9.686534e+03   1.865697e+02   4.372309e-02   
3.866667e-02   9.664236e+03   1.995717e+02   4.372309e-02   
4.000000e-02   9.641205e+03   2.129750e+02   4.372309e-02   
4.016667e-02   9.638275e+03   2.146783e+02   4.372309e-02   
4.033333e-02   9.635333e+03   2.163878e+02   4.372309e-02   
4.050000e-02   9.632380e+03   2.181035e+02   4.372309e-02   
4.066667e-02   9.629416e+03   2.198253e+02   4.372309e-02   
4.083333e-02   9.626441e+03   2.215533e+02   4.372309e-02   
4.100000e-02   9.623454e+03   2.232874e+02   4.372309e-02   
4.300000e-02   9.586731e+03   2.445706e+02   4.372309e-02   
4.500000e-02   9.548397e+03   2.667147e+02   4.372309e-02   
4.700000e-02   9.508470e+03   2.896993e+02   4.372309e-02   
4.900000e-02   9.466970e+03   3.135031e+02   4.372309e-02   
5.100000e-02   9.423917e+03   3.381039e+02   4.372309e-02   
5.300000e-02   9.379331e+03   3.634789e+02   4.372309e-02   
5.500000e-02   9.333235e+03   3.896048e+02   4.372309e-02   
5.700000e-02   9.285651e+03   4.164573e+02   4.372309e-02   
5.900000e-02   9.236602e+03   4.440118e+02   4.372309e-02   
6.100000e-02   9.186112e+03   4.722427e+02   4.372309e-02   
6.300000e-02   9.134206e+03   5.011240e+02   4.372309e-02   
6.500000e-02   9.080908e+03   5.306293e+02   4.372309e-02   
6.700000e-02   9.026244e+03   5.607314e+02   4.372309e-02   
6.900000e-02   8.970241e+03   5.914026e+02   4.372309e-02   
7.100000e-02   8.912925e+03   6.226150e+02   4.372309e-02   
7.300000e-02   8.854324e+03   6.543398e+02   4.372309e-02   
7.500000e-02   8.794467e+03   6.865481e+02   4.372309e-02   
7.700000e-02   8.733382e+03   7.192105e+02   4.372309e-02   
7.900000e-02   8.671098e+03   7.522973e+02   4.372309e-02   
8.100000e-02   8.607645e+03   7.857783e+02   4.372309e-02   
8.300000e-02   8.543054e+03   8.196231e+02   4.372309e-02   
8.500000e-02   8.477354e+03   8.538012e+02   4.372309e-02   
8.700000e-02   8.410579e+03   8.882814e+02   4.372309e-02   
8.900000e-02   8.342758e+03   9.230328e+02   4.372309e-02   
9.100000e-02   8.273924e+03   9.580239e+02   4.372309e-02   
9.300000e-02   8.204110e+03   9.932234e+02   4.372309e-02   
9.500000e-02   8.133349e+03   1.028599e+03   4.372309e-02   
9.700000e-02   8.061674e+03   1.064121e+03   4.372309e-02   
9.900000e-02   7.989119e+03   1.099755e+03   4.372309e-02   
1.010000e-01   7.915717e+03   1.135471e+03   4.372309e-02   
